Date,Close,High,Low,Open,Volume
2015-01-01,53.63,53.63,53.63,53.63,0
2015-01-02,53.91,54.6,53.07,54.28,10756705
2015-01-05,53.875,54.54,53.34,54.37,11565004
2015-01-06,53.04,54.43,52.13,54.3,13772171
2015-01-07,53.01,53.65,52.12,53.39,10069816
2015-01-08,53.66,54.28,53.25,53.48,9672064
2015-01-09,52.02,53.91,51.82,53.67,12351638
2015-01-12,49.58,51.45,49.2,51.05,18261336
2015-01-13,50.4,51.43,49.46,50.12,12259271
2015-01-14,49.41,50.23,48.1,49.41,15684697
2015-01-15,49.41,50.4,48.58,49.135,10399684
2015-01-16,49.81,49.97,48.27,49.4,12978011
2015-01-19,49.81,49.81,49.81,49.81,0
2015-01-20,52.75,52.83,49.9345,50.99,15157342
2015-01-21,53.67,54.0,51.95,52.65,12882227
2015-01-22,55.59,55.82,53.91,54.5,16201053
2015-01-23,55.69,55.98,54.8,55.4,9488822
2015-01-26,55.45,56.2,54.73,55.89,13353937
2015-01-27,52.695,54.52,52.54,53.99,19810717
2015-01-28,50.62,53.699,50.3,52.86,17064794
2015-01-29,52.24,52.42,50.57,51.045,16618856
2015-01-30,49.08,52.13,48.63,52.0,18473105
2015-02-02,48.72,48.93,46.21,48.58,22413054
2015-02-03,47.5,48.16,46.55,47.3,16678899
2015-02-04,49.46,49.79,48.23,48.62,11836762
2015-02-05,48.81,49.46,47.6,49.46,9220865
2015-02-06,48.145,49.47,47.89,48.81,8650092
2015-02-09,46.53,47.235,45.95,46.41,12961897
2015-02-10,48.05,48.375,46.9,47.4,9085330
2015-02-11,47.59,48.95,47.35,48.79,10060185
2015-02-12,47.88,48.5,46.4,46.75,9542801
2015-02-13,48.39,48.4,46.65,47.45,9895724
2015-02-16,48.39,48.39,48.39,48.39,0
2015-02-17,48.01,49.449,47.86,49.145,7260535
2015-02-18,49.31,49.45,48.184,48.57,8752743
2015-02-19,49.78,50.8,49.59,50.78,11462822
2015-02-20,51.02,51.12,49.13,49.81,10537876
2015-02-23,51.31,52.2,50.95,51.79,9508679
2015-02-24,51.52,51.555,49.36,50.29,13916738
2015-02-25,49.73,51.49,49.46,51.3,9577025
2015-02-26,49.35,50.38,49.02,50.27,7577294
2015-02-27,47.9,49.4,47.85,49.0,9396398
2015-03-02,48.31,48.57,47.85,48.19,11482901
2015-03-03,48.77,49.03,47.75,47.85,9051248
2015-03-04,48.95,48.96,47.98,48.8,6711005
2015-03-05,48.395,49.2,47.78,49.09,7041012
2015-03-06,47.995,48.94,47.9,48.33,7002303
2015-03-09,47.92,48.58,47.58,48.1,7460205
2015-03-10,46.735,47.58,46.47,47.5,9337145
2015-03-11,47.39,47.89,46.58,46.9,6630302
2015-03-12,48.68,48.72,47.56,47.57,7133511
2015-03-13,49.22,49.49,48.28,48.78,9187991
2015-03-16,50.22,50.45,49.45,49.77,10897774
2015-03-17,53.69,54.18,52.5,52.63,41837891
2015-03-18,54.13,54.6,53.34,53.69,21324978
2015-03-19,55.19,55.24,54.45,54.57,18897709
2015-03-20,55.76,56.05,54.86,55.19,137767165
2015-03-23,54.395,55.93,54.37,55.47,19042013
2015-03-24,53.93,54.41,53.66,54.04,11940800
2015-03-25,52.01,53.78,51.93,53.64,14237851
2015-03-26,51.265,51.685,50.25,50.85,14242731
2015-03-27,52.66,52.85,51.38,51.39,9003971
2015-03-30,53.64,53.84,53.05,53.24,8167282
2015-03-31,52.78,53.73,52.68,53.67,8386414
2015-04-01,50.44,51.38,50.11,51.1,15191509
2015-04-02,49.175,50.85,49.15,50.52,14109775
2015-04-03,49.175,49.175,49.175,49.175,0
2015-04-06,48.08,48.69,47.67,48.35,13323351
2015-04-07,47.495,48.8,47.49,48.3,9393200
2015-04-08,48.74,49.0865,47.73,47.8,11180048
2015-04-09,47.84,49.48,47.72,48.86,11576174
2015-04-10,47.73,48.79,47.72,48.16,11713378
2015-04-13,47.79,48.59,47.47,47.49,9350279
2015-04-14,47.42,47.78,46.88,47.49,9878409
2015-04-15,47.75,48.72,47.67,48.0,9846675
2015-04-16,48.24,48.91,47.75,47.81,7155874
2015-04-17,48.19,48.65,47.9451,48.05,8659765
2015-04-20,49.76,49.78,47.91,48.64,9523520
2015-04-21,51.36,51.42,49.46,50.0,10850327
2015-04-22,51.4,51.54,50.4,51.44,7333255
2015-04-23,51.45,51.72,50.7007,51.08,9821775
2015-04-24,52.705,53.47,51.49,51.95,20248074
2015-04-27,51.87,52.68,51.695,52.66,9843392
2015-04-28,51.19,51.82,50.01,51.7,9235688
2015-04-29,48.88,50.8,47.66,50.55,18050280
2015-04-30,48.285,49.46,48.01,48.51,9400367
2015-05-01,49.39,49.83,48.51,48.65,8084568
2015-05-04,48.95,50.08,48.8,49.45,5589831
2015-05-05,47.005,48.71,46.9,48.2,11384951
2015-05-06,47.045,47.64,46.15,46.78,10116405
2015-05-07,49.06,49.62,47.4,47.44,11427992
2015-05-08,49.04,49.83,48.93,49.21,6478195
2015-05-11,49.645,50.3,48.8,48.94,8036689
2015-05-12,48.85,49.4,48.63,49.16,6820544
2015-05-13,48.49,49.85,48.4,49.27,8553119
2015-05-14,48.815,49.09,48.5,48.94,7980104
2015-05-15,48.665,49.45,48.56,49.38,6650381
2015-05-18,49.0,49.17,48.38,48.57,6152250
2015-05-19,47.85,49.68,47.7,49.48,14984942
2015-05-20,43.06,47.56,42.97,47.56,51460347
2015-05-21,42.47,43.39,42.4,43.175,23895773
2015-05-22,42.61,42.93,42.02,42.7,16113064
2015-05-25,42.61,42.61,42.61,42.61,0
2015-05-26,41.555,43.09,41.36,43.05,17481066
2015-05-27,42.24,42.45,41.6,41.64,13017827
2015-05-28,41.97,42.5,41.77,42.27,9238835
2015-05-29,42.37,42.6,41.32,41.68,13236123
2015-06-01,44.18,44.38,42.09,42.61,21917072
2015-06-02,43.775,44.105,43.04,43.34,14832921
2015-06-03,43.13,43.91,43.01,43.35,13272584
2015-06-04,42.17,43.98,41.88,43.05,14128026
2015-06-05,41.72,42.58,41.71,42.13,9951149
2015-06-08,39.86,41.24,39.27,41.17,25757794
2015-06-09,40.325,40.72,38.45,38.8,27024764
2015-06-10,40.43,41.213,39.7,40.22,15731942
2015-06-11,40.02,41.26,39.94,40.75,10116732
2015-06-12,40.705,40.995,39.76,39.813,10333824
2015-06-15,40.07,41.0,40.01,40.43,8830268
2015-06-16,39.48,40.3202,39.32,40.13,9212092
2015-06-17,39.88,40.09,38.91,39.28,9567438
2015-06-18,39.975,40.22,39.61,39.88,10647022
2015-06-19,41.56,41.89,40.3,40.33,20198313
2015-06-22,43.03,43.25,42.24,42.92,15120162
2015-06-23,42.725,43.42,42.35,42.99,10701960
2015-06-24,42.24,42.92,42.07,42.67,6895903
2015-06-25,42.24,43.42,42.2,42.64,8174154
2015-06-26,41.44,42.58,41.33,42.42,9819882
2015-06-29,39.75,41.32,39.59,40.77,17651705
2015-06-30,39.935,40.605,39.93,40.2,11184512
2015-07-01,38.8,40.9,37.8,40.62,24907070
2015-07-02,39.03,39.805,38.4,38.92,11080020
2015-07-03,39.03,39.03,39.03,39.03,0
2015-07-06,39.73,40.0,39.08,39.09,9157738
2015-07-07,40.675,40.74,39.26,39.93,10375901
2015-07-08,39.31,40.31,39.14,40.3,11193029
2015-07-09,39.67,40.28,39.655,39.84,8490876
2015-07-10,41.21,41.64,40.5,40.51,16451678
2015-07-13,42.42,42.72,41.96,41.96,12076978
2015-07-14,42.06,42.46,41.29,42.04,12701464
2015-07-15,41.54,42.22,40.39,41.39,17922765
2015-07-16,41.39,42.22,41.3,41.81,12111338
2015-07-17,41.4,41.84,41.241,41.45,9735964
2015-07-20,40.55,41.71,40.44,41.55,7645875
2015-07-21,40.9,41.3,40.49,40.5,7300014
2015-07-22,41.43,41.61,40.96,40.96,8302897
2015-07-23,42.61,43.81,42.0,42.78,16579875
