Date,Close,High,Low,Open,Volume
2015-01-01,45.02,45.02,45.02,45.02,0
2015-01-02,44.9,45.4501,44.635,45.25,3217165
2015-01-05,44.91,45.4,44.63,44.8,5735878
2015-01-06,44.4,45.11,43.93,44.99,6589381
2015-01-07,44.76,44.94,44.38,44.73,4609541
2015-01-08,45.68,45.785,45.01,45.19,4890877
2015-01-09,45.2,45.87,45.11,45.75,4742469
2015-01-12,45.58,45.76,44.94,45.38,6178783
2015-01-13,44.61,45.53,44.25,45.34,6745033
2015-01-14,44.28,44.66,43.93,44.29,5865894
2015-01-15,43.95,44.67,43.9,44.5,3920286
2015-01-16,44.49,44.55,43.72,43.8,4564231
2015-01-19,44.49,44.49,44.49,44.49,0
2015-01-20,44.22,44.75,43.89,44.67,5160286
2015-01-21,44.06,44.25,43.62,43.96,5328154
2015-01-22,44.49,44.57,43.8,44.34,5329062
2015-01-23,43.86,44.48,43.82,44.48,6667880
2015-01-26,44.15,44.1968,43.42,43.74,4376220
2015-01-27,43.68,44.015,43.43,43.88,4848014
2015-01-28,43.41,44.2,43.355,43.94,7640975
2015-01-29,45.26,45.41,43.7,43.79,10054599
2015-01-30,44.76,45.63,44.7,45.4,9613315
2015-02-02,45.23,45.24,44.28,44.93,7313058
2015-02-03,45.83,45.88,45.34,45.41,8380452
2015-02-04,45.17,45.9901,45.05,45.55,8231178
2015-02-05,45.65,45.865,45.26,45.26,6374401
2015-02-06,45.5,46.21,45.33,45.59,5601576
2015-02-09,44.52,45.21,44.3,45.21,6585898
2015-02-10,44.92,45.01,44.4,44.68,5210459
2015-02-11,44.93,45.2,44.56,44.88,4303211
2015-02-12,45.22,45.25,44.8,45.04,4683672
2015-02-13,46.09,46.17,45.02,45.05,6524939
2015-02-16,46.09,46.09,46.09,46.09,0
2015-02-17,46.41,46.53,46.0,46.05,6366566
2015-02-18,46.41,46.53,46.15,46.26,4051383
2015-02-19,46.61,46.67,46.085,46.36,6590308
2015-02-20,47.48,47.57,46.4,46.53,6512476
2015-02-23,47.32,47.5,47.0235,47.33,5608147
2015-02-24,47.47,47.59,47.13,47.27,4789018
2015-02-25,47.4,47.735,47.24,47.55,4777445
2015-02-26,47.61,47.71,47.1,47.32,5113056
2015-02-27,47.37,47.88,47.37,47.48,5805846
2015-03-02,47.22,47.63,47.13,47.34,7016259
2015-03-03,47.09,47.14,46.67,47.14,6018949
2015-03-04,47.01,47.48,46.82,46.87,5558476
2015-03-05,47.44,47.5,46.82,46.88,4842614
2015-03-06,46.5,47.26,46.35,47.18,7264893
2015-03-09,46.83,46.98,46.4,46.5,4464816
2015-03-10,46.17,46.6056,46.16,46.42,5106149
2015-03-11,46.3,46.65,46.21,46.39,5030819
2015-03-12,47.25,47.31,46.35,46.47,5209681
2015-03-13,46.88,47.23,46.61,47.21,4744141
2015-03-16,47.83,47.85,47.12,47.12,4763607
2015-03-17,47.09,47.8,47.065,47.43,5609080
2015-03-18,47.39,47.65,46.39,46.87,6656678
2015-03-19,47.44,47.54,47.13,47.46,4013576
2015-03-20,47.47,47.77,47.33,47.66,7562366
2015-03-23,47.47,47.73,47.22,47.47,3931064
2015-03-24,47.0,47.63,46.99,47.31,4595765
2015-03-25,46.53,47.5,46.5,47.04,5061123
2015-03-26,46.5,46.79,46.1,46.41,4367392
2015-03-27,46.78,47.03,46.42,46.61,3444362
2015-03-30,47.08,47.21,46.89,47.029,2967205
2015-03-31,46.33,46.98,46.33,46.83,5358141
2015-04-01,45.89,46.37,45.545,46.33,6368966
2015-04-02,46.13,46.39,45.73,46.11,3974001
2015-04-03,46.13,46.13,46.13,46.13,0
2015-04-06,46.3,46.57,45.65,45.8,4083515
2015-04-07,46.19,46.595,46.16,46.3,3161108
2015-04-08,46.61,46.75,45.9,46.21,6011329
2015-04-09,47.0,47.12,46.45,46.5,4337295
2015-04-10,47.15,47.195,46.7,46.98,3759949
2015-04-13,46.53,47.11,46.5,46.78,3064458
2015-04-14,46.7,46.75,46.335,46.51,3243935
2015-04-15,46.83,46.95,46.59,46.81,4046566
2015-04-16,46.52,46.89,46.38,46.61,3768951
2015-04-17,46.25,46.45,45.81,46.29,4311873
2015-04-20,46.63,46.71,46.37,46.42,3371941
2015-04-21,47.12,47.28,46.715,46.94,8615780
2015-04-22,48.35,48.4,47.12,47.25,7637895
2015-04-23,48.46,48.62,47.83,48.35,6401887
2015-04-24,48.32,48.52,48.09,48.36,3450954
2015-04-27,47.49,48.4,47.38,48.28,5254539
2015-04-28,47.59,47.73,47.01,47.62,3788404
2015-04-29,47.17,47.64,46.88,47.28,3566552
2015-04-30,46.42,47.2,46.26,46.93,5963629
2015-05-01,46.69,46.93,46.4,46.71,3410079
2015-05-04,47.0,47.34,46.78,46.78,3126934
2015-05-05,46.85,47.21,46.78,47.02,4377667
2015-05-06,46.54,46.98,46.23,46.85,3832652
2015-05-07,46.5,46.72,46.37,46.44,4488905
2015-05-08,47.57,47.7,47.03,47.1,4296431
2015-05-11,47.33,47.74,47.23,47.28,3551403
2015-05-12,47.13,47.2894,46.89,47.03,3520475
2015-05-13,47.03,47.37,46.88,47.2,2651384
2015-05-14,48.67,48.79,47.29,47.38,8226030
2015-05-15,48.71,48.84,48.47,48.56,5178783
2015-05-18,48.84,49.085,48.77,48.78,4221449
2015-05-19,49.01,49.15,48.67,48.78,4137800
2015-05-20,49.14,49.3564,48.93,49.08,3682313
2015-05-21,49.34,49.43,48.9,49.06,4193679
2015-05-22,49.03,49.43,48.91,49.1,3454609
