Date,Close,High,Low,Open,Volume
2015-01-01,30.545,30.545,30.545,30.545,0
2015-01-02,30.54,30.805,30.33,30.75,2846174
2015-01-05,29.74,30.275,29.62,30.22,4767144
2015-01-06,29.475,29.775,29.3955,29.705,5818936
2015-01-07,29.66,29.9785,29.545,29.725,3653990
2015-01-08,29.95,30.1575,29.73,29.87,4587622
2015-01-09,29.315,30.085,29.275,30.03,5993616
2015-01-12,29.145,29.375,28.97,29.305,3573236
2015-01-13,29.0,29.53,28.8,29.345,3341046
2015-01-14,28.775,28.985,28.485,28.6,4303694
2015-01-15,28.68,29.135,28.65,28.675,4579698
2015-01-16,29.09,29.1,28.585,28.645,3690904
2015-01-19,29.09,29.09,29.09,29.09,0
2015-01-20,29.005,29.25,28.7425,29.19,4013692
2015-01-21,29.05,29.11,28.73,28.895,5738290
2015-01-22,29.575,29.62,29.01,29.18,3698910
2015-01-23,29.365,29.61,29.35,29.6,2949056
2015-01-26,29.51,29.595,29.1758,29.3,2816610
2015-01-27,29.255,29.45,29.065,29.26,3671708
2015-01-28,28.68,29.485,28.67,29.405,4777946
2015-01-29,28.825,28.91,28.475,28.71,3101168
2015-01-30,28.54,29.035,28.455,28.55,4742622
2015-02-02,29.085,29.135,28.205,28.45,4298522
2015-02-03,29.545,29.58,29.18,29.275,4810740
2015-02-04,30.34,30.64,30.01,30.01,6888172
2015-02-05,30.49,30.515,30.12,30.16,5476592
2015-02-06,30.64,30.745,30.43,30.58,4695378
2015-02-09,30.57,30.745,30.38,30.47,3621440
2015-02-10,30.725,30.79,30.445,30.585,3355214
2015-02-11,30.915,31.0,30.65,30.73,4568712
2015-02-12,30.9,31.03,30.685,30.74,5090838
2015-02-13,31.065,31.115,30.755,30.88,5256570
2015-02-16,31.065,31.065,31.065,31.065,0
2015-02-17,31.175,31.33,30.845,30.96,3760114
2015-02-18,30.875,31.135,30.825,31.04,2581052
2015-02-19,30.89,31.0,30.72,30.815,2116960
2015-02-20,31.065,31.07,30.51,30.67,3165792
2015-02-23,30.715,30.94,30.615,30.94,3661228
2015-02-24,31.03,31.075,30.665,30.695,4540262
2015-02-25,30.975,31.095,30.865,31.03,3877206
2015-02-26,31.09,31.115,30.89,30.97,3822330
2015-02-27,31.125,31.37,30.975,31.08,4709638
2015-03-02,31.285,31.335,31.01,31.095,2939508
2015-03-03,31.14,31.345,31.075,31.165,3066084
2015-03-04,31.175,31.25,30.86,30.93,3680476
2015-03-05,31.4,31.465,31.125,31.275,4086786
2015-03-06,31.08,31.675,31.035,31.4,6459338
2015-03-09,31.15,31.24,31.105,31.18,4328474
2015-03-10,30.525,31.085,30.525,30.91,5877768
2015-03-11,30.745,30.82,30.582,30.635,3829180
2015-03-12,31.325,31.3375,30.93,30.95,3243864
2015-03-13,31.065,31.31,30.81,31.22,3375832
2015-03-16,31.48,31.615,31.195,31.21,3746754
2015-03-17,31.44,31.5051,31.23,31.26,3360868
2015-03-18,31.81,31.955,31.21,31.355,5782516
2015-03-19,31.545,31.745,31.265,31.71,3448528
2015-03-20,31.945,32.04,31.545,31.66,8825562
2015-03-23,31.93,32.31,31.93,31.975,5072242
2015-03-24,31.8,32.06,31.775,31.905,3283056
2015-03-25,31.675,31.875,31.59,31.765,4555130
2015-03-26,31.75,31.86,31.47,31.63,4570356
2015-03-27,31.775,31.81,31.515,31.75,3461296
2015-03-30,32.1,32.18,31.815,31.87,3481056
2015-03-31,32.005,32.1038,31.775,31.9,3639396
2015-04-01,31.785,31.97,31.655,31.935,3383726
2015-04-02,31.79,31.9475,31.66,31.75,3559268
2015-04-03,31.79,31.79,31.79,31.79,0
2015-04-06,31.985,32.21,31.55,31.55,3425496
2015-04-07,31.895,32.16,31.88,32.085,2488228
2015-04-08,32.12,32.186,31.822,31.965,2664990
2015-04-09,32.265,32.37,31.995,32.11,2878974
2015-04-10,32.26,32.315,32.14,32.265,2352332
2015-04-13,32.185,32.4525,32.115,32.165,3418248
2015-04-14,32.28,32.4325,32.13,32.205,2429164
2015-04-15,32.36,32.55,32.273,32.315,2577384
2015-04-16,32.24,32.405,32.175,32.34,2894980
2015-04-17,31.99,32.13,31.8005,32.085,3268206
2015-04-20,32.225,32.345,32.125,32.165,1861350
2015-04-21,31.93,32.405,31.715,32.31,2810576
2015-04-22,32.035,32.08,31.73,32.025,2492636
2015-04-23,32.085,32.2078,31.865,31.92,2522454
2015-04-24,32.095,32.205,31.965,32.14,2863280
2015-04-27,32.01,32.26,31.97,32.16,2913530
2015-04-28,32.21,32.2675,31.82,31.945,3052500
2015-04-29,31.93,32.105,31.07,31.545,7756486
2015-04-30,31.52,32.0444,31.495,31.82,6567924
2015-05-01,31.555,31.835,31.4,31.71,4755296
2015-05-04,31.76,31.9,31.65,31.685,3353404
2015-05-05,31.865,32.1025,31.59,31.685,4366560
2015-05-06,31.77,32.15,31.575,32.05,3674282
2015-05-07,31.875,32.11,31.685,31.82,4728704
2015-05-08,32.11,32.155,31.84,31.995,3267342
2015-05-11,31.945,32.21,31.935,32.04,3958514
2015-05-12,31.685,31.915,31.66,31.865,4059910
2015-05-13,31.8,31.92,31.62,31.655,3295646
2015-05-14,31.885,32.04,31.81,31.945,3177196
2015-05-15,31.835,31.96,31.6,31.855,3850950
2015-05-18,31.965,32.0325,31.64,31.65,3269726
2015-05-19,32.125,32.26,31.9,32.05,4346314
2015-05-20,32.355,32.53,31.96,32.09,4806630
2015-05-21,31.445,32.265,31.415,32.225,9736202
2015-05-22,31.355,31.74,31.27,31.37,5792518
2015-05-25,31.355,31.355,31.355,31.355,0
2015-05-26,30.87,31.285,30.815,31.245,7815124
2015-05-27,31.23,31.4125,30.955,31.02,4854078
2015-05-28,31.28,31.31,30.98,31.13,3325666
2015-05-29,31.11,31.34,31.025,31.32,4488156
2015-06-01,31.05,31.315,30.9875,31.25,4686108
2015-06-02,31.13,31.33,30.99,31.045,4358002
2015-06-03,31.255,31.395,31.107,31.155,3308084
2015-06-04,31.055,31.335,31.025,31.21,3516160
2015-06-05,30.905,31.175,30.85,31.11,3629124
2015-06-08,30.81,31.02,30.79,30.86,3777264
2015-06-09,30.835,30.945,30.66,30.795,2986938
2015-06-10,31.26,31.425,30.965,30.97,2886726
2015-06-11,31.495,31.57,31.257,31.315,3450678
2015-06-12,31.285,31.4475,31.1,31.13,3372970
2015-06-15,31.025,31.18,30.935,31.015,3154374
2015-06-16,31.225,31.3225,30.925,30.97,3819666
2015-06-17,31.235,31.5,31.185,31.325,3426416
2015-06-18,31.545,31.635,31.3,31.3,3563036
2015-06-19,31.28,31.515,31.26,31.45,4669120
2015-06-22,31.415,31.55,31.325,31.48,2250578
2015-06-23,31.425,31.505,31.32,31.495,3181980
2015-06-24,31.24,31.47,31.22,31.36,2596090
2015-06-25,31.67,31.905,31.495,31.545,8166641
2015-06-26,31.845,31.915,31.525,31.675,5021638
2015-06-29,30.72,31.61,30.7,31.495,6903688
2015-06-30,31.1,31.255,30.835,30.955,4824652
2015-07-01,31.215,31.53,31.0675,31.525,3988120
2015-07-02,30.98,31.25,30.815,31.185,2876702
2015-07-03,30.98,30.98,30.98,30.98,0
2015-07-06,30.79,31.015,30.54,30.615,3528704
2015-07-07,30.885,30.9,30.345,30.78,4008148
2015-07-08,30.23,30.725,30.115,30.66,3905060
2015-07-09,30.33,30.695,30.285,30.605,4694570
2015-07-10,30.855,30.895,30.665,30.675,5252166
2015-07-13,30.71,30.835,30.29,30.38,11232584
2015-07-14,30.705,30.87,30.59,30.685,6114312
2015-07-15,30.895,30.895,30.675,30.805,5354602
2015-07-16,31.11,31.215,30.9125,31.07,3173060
2015-07-17,30.795,31.095,30.595,31.095,3233002
2015-07-20,30.78,30.93,30.53,30.835,4495226
2015-07-21,30.9,31.0575,30.75,30.835,3660334
2015-07-22,30.94,31.065,30.8105,30.905,3202710
2015-07-23,30.93,31.0675,30.815,30.945,3101520
2015-07-24,30.96,31.22,30.885,30.93,4088079
2015-07-27,30.765,30.875,30.57,30.74,2680324
2015-07-28,31.165,31.235,30.701,30.905,4530764
2015-07-29,32.27,32.315,31.065,31.095,8339919
2015-07-30,32.02,32.33,31.945,32.16,5319328
2015-07-31,32.025,32.15,31.96,32.06,4822770
2015-08-03,32.015,32.015,31.695,31.97,3310554
2015-08-04,31.965,32.25,31.92,32.02,3149522
2015-08-05,32.05,32.39,32.035,32.18,3089718
2015-08-06,31.84,32.13,31.79,32.05,4253444
2015-08-07,32.02,32.035,31.725,31.82,3865056
2015-08-10,32.46,32.495,32.19,32.2,3337544
2015-08-11,32.12,32.26,31.92,32.06,2972606
2015-08-12,32.055,32.135,31.555,31.94,4441852
2015-08-13,32.085,32.305,31.98,32.065,2369334
2015-08-14,32.38,32.39,32.0675,32.1,3486158
2015-08-17,32.265,32.2905,31.75,31.985,3737408
2015-08-18,32.29,32.32,32.15,32.175,2493250
2015-08-19,31.525,31.98,31.375,31.85,8738692
2015-08-20,30.625,31.33,30.61,31.245,7038578
2015-08-21,29.6,30.52,29.585,30.34,6402222
2015-08-24,28.145,28.975,25.705,27.8325,10206772
2015-08-25,27.615,28.99,27.585,28.99,6206890
2015-08-26,28.46,28.52,27.815,28.285,6282536
2015-08-27,29.315,29.385,28.675,28.905,5196850
2015-08-28,29.335,29.36,29.01,29.15,4100014
2015-08-31,29.3,29.405,28.96,29.06,4900124
2015-09-01,28.325,28.805,28.215,28.605,5848098
2015-09-02,28.725,28.755,28.3,28.69,4069870
2015-09-03,28.775,29.045,28.65,28.825,4667318
2015-09-04,28.195,28.475,28.095,28.345,4639644
2015-09-07,28.195,28.195,28.195,28.195,0
2015-09-08,28.785,28.795,28.56,28.67,6352176
2015-09-09,28.495,29.34,28.45,29.245,4330114
2015-09-10,28.85,28.98,28.53,28.83,4928778
2015-09-11,29.07,29.085,28.68,28.73,4186315
2015-09-14,28.9,29.11,28.82,29.055,2911044
2015-09-15,29.285,29.38,28.95,29.07,2827244
2015-09-16,29.42,29.485,29.18,29.28,2810022
2015-09-17,29.055,29.54,28.97,29.45,4411334
2015-09-18,28.575,28.8525,28.46,28.565,7163834
2015-09-21,28.85,29.025,28.65,28.725,3123054
2015-09-22,28.52,28.635,28.305,28.44,4001006
2015-09-23,28.71,28.75,28.405,28.55,3926808
2015-09-24,28.745,28.815,28.415,28.415,4440252
2015-09-25,28.915,29.19,28.79,28.985,3756064
2015-09-28,28.505,28.775,28.4075,28.685,3581350
2015-09-29,28.86,28.905,28.44,28.555,3166604
2015-09-30,29.065,29.35,28.905,29.15,3936856
2015-10-01,28.98,29.235,28.762,29.07,3925598
2015-10-02,29.235,29.24,28.39,28.45,4627084
2015-10-05,29.66,29.8025,29.295,29.4,3383760
2015-10-06,29.715,29.82,29.53,29.61,3700848
2015-10-07,30.145,30.195,29.41,29.92,3624202
2015-10-08,30.405,30.505,29.97,30.085,3536504
2015-10-09,30.38,30.655,30.215,30.43,3208676
2015-10-12,30.415,30.5175,30.3,30.385,2440532
2015-10-13,30.255,30.585,30.2175,30.265,2564114
2015-10-14,29.87,30.2,29.8025,30.2,3330908
2015-10-15,30.45,30.4825,29.895,30.145,3498938
2015-10-16,30.67,30.775,30.515,30.58,3695592
2015-10-19,30.515,30.71,30.39,30.585,3845250
2015-10-20,30.64,30.71,30.16,30.535,7362776
2015-10-21,30.67,30.87,30.63,30.765,4504676
2015-10-22,31.11,31.275,30.83,30.85,5187694
2015-10-23,31.725,31.735,31.2,31.255,6452198
2015-10-26,31.755,31.85,31.61,31.685,7602060
2015-10-27,31.575,31.86,31.435,31.57,6963770
2015-10-28,31.99,32.595,31.14,31.51,9909346
2015-10-29,32.21,32.3,31.735,32.015,5630372
2015-10-30,31.875,32.25,31.875,32.2,6521924
2015-11-02,32.255,32.3,31.96,31.965,3731934
2015-11-03,32.02,32.22,31.94,32.09,5594796
2015-11-04,32.085,32.184,31.935,32.02,4286192
2015-11-05,32.085,32.255,31.99,32.095,3457294
2015-11-06,32.16,32.495,32.0,32.16,6160882
2015-11-09,31.78,32.18,31.65,32.12,5063752
2015-11-10,32.155,32.285,31.725,31.725,4785312
2015-11-11,32.185,32.3,32.06,32.21,4085842
2015-11-12,31.66,32.17,31.645,31.88,5075968
2015-11-13,31.61,31.79,31.44,31.635,4069412
2015-11-16,31.835,31.84,31.135,31.34,4549664
2015-11-17,31.75,32.105,31.6525,31.9,4245124
2015-11-18,32.46,32.5,31.735,31.875,5970344
2015-11-19,32.685,32.71,32.38,32.495,4835374
2015-11-20,32.83,33.115,32.655,32.76,5954204
2015-11-23,32.7,32.945,32.665,32.85,3494332
2015-11-24,32.695,32.805,32.44,32.455,3188210
2015-11-25,32.55,32.7675,32.5275,32.695,2218656
2015-11-26,32.55,32.55,32.55,32.55,0
2015-11-27,32.65,32.7975,32.56,32.65,1874018
2015-11-30,32.62,32.78,32.4525,32.65,5499048
2015-12-01,32.995,33.045,32.695,32.74,4384546
2015-12-02,32.795,33.265,32.755,32.97,4197168
2015-12-03,31.55,32.855,31.31,32.855,10437306
2015-12-04,31.76,31.8175,31.4,31.57,6955168
2015-12-07,31.4,31.835,31.2177,31.695,5450984
2015-12-08,31.06,31.15,30.83,31.105,5177296
2015-12-09,30.63,31.305,30.49,30.955,3918416
2015-12-10,30.545,30.795,30.485,30.59,3174446
2015-12-11,29.855,30.4,29.695,30.06,3912582
2015-12-14,29.77,30.09,29.495,30.01,4758676
2015-12-15,30.46,30.64,30.09,30.09,5209314
2015-12-16,30.85,30.98,30.49,30.61,4028048
2015-12-17,30.19,30.86,30.19,30.855,3957310
2015-12-18,29.145,30.0,29.145,29.985,6911002
2015-12-21,29.24,29.45,29.045,29.195,3729254
2015-12-22,29.64,29.7425,29.245,29.29,3435542
2015-12-23,30.16,30.21,29.83,29.9,2371046
2015-12-24,30.09,30.27,30.0,30.105,1767310
2015-12-25,30.09,30.09,30.09,30.09,0
2015-12-28,30.195,30.21,29.905,29.985,2805222
2015-12-29,30.47,30.58,30.2574,30.385,2389768
2015-12-30,30.26,30.53,30.21,30.425,1866492
2015-12-31,29.95,30.275,29.925,30.075,2051537
2016-01-01,29.95,29.95,29.95,29.95,0
2016-01-04,29.59,29.59,29.1,29.395,4948306
2016-01-05,29.55,29.815,29.37,29.585,4099923
2016-01-06,29.1,29.305,28.975,29.165,3727472
2016-01-07,28.605,28.9975,28.465,28.56,4706036
2016-01-08,28.355,28.895,28.305,28.835,4460772
