Date,Close,High,Low,Open,Volume
2015-01-01,257.41,257.41,257.41,257.41,0
2015-01-02,259.13,262.27,258.11,260.27,2180249
2015-01-05,256.69,259.27,255.51,257.94,2410949
2015-01-06,255.17,260.04,253.0,257.16,2773172
2015-01-07,265.23,267.97,256.11,256.99,4392008
2015-01-08,268.96,270.05,266.47,268.0,2978195
2015-01-09,268.68,271.5,267.0,270.63,2218752
2015-01-12,272.28,275.75,269.8,275.29,3118726
2015-01-13,269.9,276.18,267.79,274.0,2911188
2015-01-14,266.42,269.38,264.48,266.11,1939189
2015-01-15,263.75,268.86,263.05,267.0,2570304
2015-01-16,268.66,269.26,262.536,262.97,2098659
2015-01-19,268.66,268.66,268.66,268.66,0
2015-01-20,269.01,270.158,265.86,269.0,2423402
2015-01-21,275.77,276.8964,268.2,268.45,3624581
2015-01-22,278.01,279.22,273.63,275.9,2579320
2015-01-23,279.12,280.24,276.81,277.65,2716568
2015-01-26,285.02,285.09,276.88,279.0,2520902
2015-01-27,280.2,283.5699,280.1,281.74,2649370
2015-01-28,273.88,282.5,272.75,282.32,2207052
2015-01-29,273.25,275.12,269.2,275.12,2359986
2015-01-30,266.54,273.03,266.18,271.22,2747839
2015-02-02,267.79,269.245,262.0001,268.39,2193430
2015-02-03,268.35,268.81,263.38,268.23,2045599
2015-02-04,266.23,268.4,264.48,267.45,1883647
2015-02-05,274.67,276.645,266.67,266.69,4285292
2015-02-06,276.55,278.65,270.92,274.18,2755301
2015-02-09,272.31,276.73,271.46,275.45,1934071
2015-02-10,279.14,279.76,272.78,274.79,2407406
2015-02-11,277.51,282.01,275.0,279.15,2090547
2015-02-12,281.66,281.75,276.75,280.18,1526902
2015-02-13,285.37,287.12,279.285,280.84,2235830
2015-02-16,285.37,285.37,285.37,285.37,0
2015-02-17,286.9,288.8,284.01,287.53,2850860
2015-02-18,284.0,289.68,277.67,289.13,4970779
2015-02-19,289.44,291.23,281.51,281.67,5164168
2015-02-20,295.77,296.77,289.21,290.0,3414344
2015-02-23,292.45,296.75,291.0,296.43,2779837
2015-02-24,289.11,292.95,287.99,292.21,4671976
2015-02-25,290.4,294.0,290.1,291.0,12552531
2015-02-26,289.78,291.7,286.59,290.25,3206511
2015-02-27,291.36,292.62,289.86,290.1,3747630
2015-03-02,297.31,297.5,292.8,293.16,3427608
2015-03-03,296.23,297.3,291.46,296.8,2926876
2015-03-04,296.14,296.75,290.83,295.93,2386755
2015-03-05,295.7,298.23,293.72,297.1,2199051
