Date,Close,High,Low,Open,Volume
2015-01-01,56.01,56.01,56.01,56.01,0
2015-01-02,56.11,56.6,55.75,56.53,6613127
2015-01-05,55.0,55.87,54.73,55.68,10103485
2015-01-06,54.22,54.87,53.74,54.74,15406358
2015-01-07,54.48,54.73,54.17,54.73,8761961
2015-01-08,54.24,54.6654,53.86,54.42,13066317
2015-01-09,53.32,54.29,52.96,54.2,6877784
2015-01-12,52.36,53.22,52.14,53.14,8114765
2015-01-13,51.87,53.03,50.88,52.6,14042249
2015-01-14,51.38,51.44,50.47,51.03,12242651
2015-01-15,50.4,51.54,50.37,51.38,8056050
2015-01-16,51.11,51.14,50.05,50.21,8084132
2015-01-19,51.11,51.11,51.11,51.11,0
2015-01-20,50.65,51.5,50.29,51.32,8292723
2015-01-21,50.83,51.085,50.05,50.45,7228362
2015-01-22,52.28,52.33,50.86,51.28,11850129
2015-01-23,51.51,52.36,51.49,52.24,5237731
2015-01-26,51.21,51.57,51.0,51.32,12159102
2015-01-27,50.47,50.93,50.24,50.74,8236414
2015-01-28,49.21,50.84,49.18,50.84,11498787
2015-01-29,49.26,49.7,48.68,49.37,12400189
2015-01-30,48.87,49.62,48.75,48.9,11238468
2015-02-02,50.46,50.6,49.01,49.03,12005716
2015-02-03,51.33,51.39,50.6,50.8,9470139
2015-02-04,51.51,51.91,51.05,51.07,10292021
2015-02-05,51.62,51.87,51.15,51.26,6365461
2015-02-06,52.1,52.55,51.95,51.95,10011727
2015-02-09,52.14,52.47,51.52,51.67,7093815
2015-02-10,52.41,52.77,51.96,52.53,5580829
2015-02-11,52.25,52.36,51.69,52.32,7480233
2015-02-12,52.45,52.69,52.08,52.31,9322410
2015-02-13,53.96,54.14,51.15,51.16,19888580
2015-02-16,53.96,53.96,53.96,53.96,0
2015-02-17,54.99,55.26,54.01,54.09,15677974
2015-02-18,54.71,55.1,54.586,54.72,9024138
2015-02-19,54.98,55.25,54.54,54.66,8073729
2015-02-20,55.22,55.37,54.39,54.86,12442509
2015-02-23,54.57,55.2,54.39,55.2,11606520
2015-02-24,55.04,55.35,54.52,54.52,7844554
2015-02-25,54.8,55.11,54.71,54.76,5825584
2015-02-26,54.93,55.1145,54.68,54.78,6594154
2015-02-27,55.33,55.61,54.84,54.95,15031245
2015-03-02,55.65,55.65,55.04,55.19,7283920
2015-03-03,55.58,55.73,55.25,55.28,5950967
2015-03-04,55.38,55.51,54.97,55.29,6057554
2015-03-05,55.61,55.67,55.2,55.56,5614938
2015-03-06,56.0,56.44,55.59,55.75,11480022
2015-03-09,56.11,56.215,55.62,55.86,12140657
2015-03-10,54.42,55.43,54.415,55.43,14513775
2015-03-11,54.72,55.04,54.33,54.4,6646859
2015-03-12,55.6,55.66,54.895,54.98,5887231
2015-03-13,55.3,55.6,54.805,55.52,6507297
2015-03-16,55.93,56.1,55.5,55.63,5922924
2015-03-17,55.8,56.09,55.16,55.47,5676189
2015-03-18,56.42,56.685,55.3,55.7,8487133
2015-03-19,55.65,56.41,55.36,56.15,6170894
2015-03-20,55.94,56.2,55.67,55.81,11659810
2015-03-23,55.83,56.5,55.83,55.99,5788544
2015-03-24,55.37,55.92,55.37,55.56,5343821
2015-03-25,54.52,55.37,54.52,55.34,6962605
2015-03-26,54.17,54.55,54.13,54.38,8884405
2015-03-27,54.03,54.5,53.92,54.5,6454416
2015-03-30,54.68,54.8,54.25,54.58,5770369
2015-03-31,54.79,55.11,54.2074,54.41,7424156
