Date,Close,High,Low,Open,Volume
2015-01-01,70.25,70.25,70.25,70.25,0
2015-01-02,70.12,70.91,69.73,70.59,1766894
2015-01-05,68.73,69.78,68.64,69.68,2905053
2015-01-06,68.68,69.61,68.45,69.03,2626848
2015-01-07,69.81,69.85,68.82,69.4,2090185
2015-01-08,71.15,71.15,70.21,70.25,2967847
2015-01-09,70.42,71.12,70.37,71.08,2100799
2015-01-12,69.7,70.62,69.5601,70.36,1513094
2015-01-13,70.12,71.19,69.56,70.3,2241008
2015-01-14,69.43,69.8,68.84,68.96,2692614
2015-01-15,69.23,69.88,69.12,69.44,2058231
2015-01-16,70.84,70.88,69.5,69.82,2182835
2015-01-19,70.84,70.84,70.84,70.84,0
2015-01-20,70.36,71.24,69.89,71.16,2113660
2015-01-21,70.3,70.695,69.61,70.09,2006845
2015-01-22,71.95,72.11,70.39,70.67,2523003
2015-01-23,71.43,72.11,71.405,72.08,1746693
2015-01-26,71.73,71.765,71.06,71.27,1663495
2015-01-27,71.44,71.79,70.92,71.04,1526166
2015-01-28,70.32,72.535,70.3,71.65,2539168
2015-01-29,71.05,71.25,70.27,70.52,2854998
2015-01-30,69.79,70.84,69.7,70.49,2486684
2015-02-02,70.91,70.99,69.17,69.74,3005612
2015-02-03,72.03,72.06,70.51,71.16,2988068
2015-02-04,72.58,72.87,71.72,71.8,3677435
2015-02-05,72.3,72.52,69.04,69.68,4825039
2015-02-06,70.93,72.21,70.72,72.0,4198115
2015-02-09,70.03,70.69,69.845,70.32,3555235
2015-02-10,70.05,70.59,69.65,70.55,3063724
2015-02-11,71.18,71.415,69.99,70.14,3840135
2015-02-12,71.57,71.69,71.16,71.24,2063370
2015-02-13,71.46,71.74,71.14,71.37,2016872
2015-02-16,71.46,71.46,71.46,71.46,0
2015-02-17,71.27,71.86,71.14,71.48,2027031
2015-02-18,70.71,71.23,70.51,71.07,2446242
2015-02-19,71.17,71.27,70.59,70.65,2001888
