Date,Close,High,Low,Open,Volume
2015-01-01,2.67,2.67,2.67,2.67,0
2015-01-02,2.69,2.73,2.64,2.695,8330254
2015-01-05,2.66,2.7,2.64,2.68,8878176
2015-01-06,2.63,2.66,2.55,2.66,13916645
2015-01-07,2.58,2.65,2.54,2.65,12377554
2015-01-08,2.61,2.645,2.56,2.6,11136587
2015-01-09,2.63,2.64,2.58,2.62,8907618
2015-01-12,2.63,2.64,2.55,2.63,9979638
2015-01-13,2.66,2.68,2.6,2.64,17907354
2015-01-14,2.63,2.66,2.58,2.6,9989870
2015-01-15,2.52,2.65,2.49,2.62,17744035
2015-01-16,2.39,2.53,2.39,2.53,30192441
2015-01-19,2.39,2.39,2.39,2.39,0
2015-01-20,2.24,2.43,2.19,2.4,56713301
2015-01-21,2.45,2.45,2.14,2.18,46530825
2015-01-22,2.47,2.5,2.37,2.45,36169577
2015-01-23,2.45,2.5,2.43,2.48,11107160
2015-01-26,2.61,2.64,2.44,2.45,36571306
2015-01-27,2.7,2.84,2.56,2.57,51805831
2015-01-28,2.63,2.75,2.6,2.71,24786168
2015-01-29,2.61,2.69,2.51,2.63,17790203
2015-01-30,2.57,2.6,2.51,2.56,12908182
2015-02-02,2.67,2.75,2.65,2.69,25688696
2015-02-03,2.76,2.8,2.68,2.7,22592285
2015-02-04,2.85,2.92,2.76,2.78,34829278
2015-02-05,3.31,3.37,2.87,2.87,73355631
2015-02-06,3.03,3.21,3.0,3.2,38299959
2015-02-09,3.04,3.07,2.93,3.03,24133773
2015-02-10,3.04,3.1,3.01,3.08,13995062
2015-02-11,3.07,3.1,3.0,3.03,11741088
2015-02-12,3.12,3.15,3.05,3.0772,12974994
2015-02-13,3.15,3.18,3.11,3.14,9627555
2015-02-16,3.15,3.15,3.15,3.15,0
2015-02-17,3.11,3.17,3.08,3.125,8678124
2015-02-18,3.08,3.135,3.06,3.12,7286117
2015-02-19,3.055,3.08,3.01,3.06,6573575
2015-02-20,3.06,3.13,3.02,3.04,10667514
2015-02-23,3.06,3.1,3.03,3.05,6323536
2015-02-24,3.11,3.115,3.02,3.06,10916320
2015-02-25,3.1,3.14,3.06,3.09,6151341
2015-02-26,3.08,3.125,3.06,3.1,8680872
2015-02-27,3.11,3.12,3.07,3.08,7150249
2015-03-02,3.21,3.23,3.11,3.12,15638083
2015-03-03,3.14,3.23,3.13,3.2,8645029
2015-03-04,3.05,3.14,3.01,3.13,12122102
2015-03-05,2.98,3.1,2.98,3.09,11472270
