Date,Close,High,Low,Open,Volume
2015-01-01,159.29,159.29,159.29,159.29,0
2015-01-02,159.89,162.59,158.6,160.16,2606798
2015-01-05,157.99,159.5999,154.26,157.28,4085486
2015-01-06,152.9,158.88,152.33,158.8,5075771
2015-01-07,158.24,158.58,153.01,154.09,3502412
2015-01-08,157.67,162.76,155.15,159.605,4560248
2015-01-09,155.73,158.76,154.63,158.76,3949092
2015-01-12,156.22,157.99,154.99,156.22,2700746
2015-01-13,155.14,160.96,153.41,158.88,4570440
2015-01-14,155.16,155.54,152.57,152.87,3426427
2015-01-15,151.92,157.7399,151.53,156.09,2896036
2015-01-16,158.43,158.44,152.03,152.73,3513169
2015-01-19,158.43,158.43,158.43,158.43,0
2015-01-20,157.6,159.73,154.651,159.21,3664373
2015-01-21,157.38,158.27,155.38,155.38,2804857
2015-01-22,159.57,159.78,154.11,158.06,3783059
2015-01-23,159.81,160.01,158.25,159.8,2249418
2015-01-26,159.73,161.48,157.67,159.9,3149585
2015-01-27,158.89,160.74,158.278,158.67,2876264
2015-01-28,154.64,160.91,154.51,158.32,4927113
2015-01-29,156.37,156.84,153.76,154.89,3435503
2015-01-30,152.26,156.87,151.53,155.52,5318204
2015-02-02,152.5,153.97,149.4,153.42,3832457
2015-02-03,152.23,153.76,148.87,153.5,4298435
2015-02-04,151.45,153.15,147.42,150.15,5827111
2015-02-05,153.36,153.9,151.02,152.27,3564405
2015-02-06,151.4,154.76,150.6,154.35,3242714
2015-02-09,150.01,151.83,149.2,150.0,3236388
2015-02-10,152.57,152.63,149.05,150.5,4108620
2015-02-11,153.11,155.24,152.265,153.29,3998663
2015-02-12,153.18,154.83,151.12,154.83,2935775
2015-02-13,153.48,153.81,150.21,152.83,3592054
2015-02-16,153.48,153.48,153.48,153.48,0
2015-02-17,154.24,154.85,153.0,153.93,3895609
2015-02-18,155.78,156.23,153.64,154.22,3297879
2015-02-19,156.05,156.42,155.04,155.97,3913882
2015-02-20,157.66,157.75,155.06,156.43,4411081
2015-02-23,158.42,159.2,157.81,158.0,3094261
2015-02-24,157.37,159.11,156.25,158.73,2060547
2015-02-25,158.08,158.78,155.74,157.55,3262822
2015-02-26,158.97,159.4,156.0,158.26,3379767
2015-02-27,157.72,159.24,157.2,159.1,2471953
2015-03-02,159.63,159.9,157.62,159.29,3483532
2015-03-03,158.56,159.4,157.51,159.25,2334873
2015-03-04,159.19,159.74,156.81,158.0,3098640
2015-03-05,159.6,161.48,158.857,159.84,2470899
2015-03-06,154.88,159.92,154.0,158.5,4091351
2015-03-09,155.01,155.74,152.78,154.85,2134997
2015-03-10,153.58,155.625,152.29,152.93,3509639
2015-03-11,152.7,154.27,152.42,154.02,2487097
2015-03-12,154.25,154.77,152.95,154.15,1889403
2015-03-13,154.26,154.75,152.58,153.34,2737945
2015-03-16,163.03,163.2,156.74,157.72,5201626
2015-03-17,163.07,163.76,161.739,162.35,2620805
2015-03-18,166.54,167.5993,161.83,162.64,3690084
2015-03-19,169.11,169.22,166.97,167.67,3756562
2015-03-20,170.1,172.36,168.51,170.4,9040559
2015-03-23,166.54,169.21,165.7001,168.9,3880023
2015-03-24,166.01,168.25,165.4,166.0,2555571
2015-03-25,160.62,166.79,160.57,165.87,4010098
2015-03-26,160.55,162.69,157.36,158.84,3146525
2015-03-27,162.59,163.445,161.0,161.25,2438867
2015-03-30,164.305,165.82,163.05,161.25,2388057
2015-03-31,159.85,164.09,159.72,163.27,3110965
2015-04-01,157.1,159.39,154.64,159.37,5134960
2015-04-02,155.88,158.18,155.03,157.12,3015172
2015-04-03,155.88,155.88,155.88,155.88,0
2015-04-06,155.28,157.27,154.6,154.76,3185653
2015-04-07,157.28,159.47,155.28,155.62,2942591
2015-04-08,160.33,160.99,157.66,157.83,3031213
2015-04-09,161.49,161.8,159.07,161.02,2860553
2015-04-10,163.38,163.69,160.31,161.56,2407773
2015-04-13,162.49,164.72,162.34,162.95,1767653
2015-04-14,162.57,163.47,160.56,162.53,2099377
2015-04-15,165.47,165.91,162.86,163.18,3659284
2015-04-16,166.87,167.64,165.07,166.33,3085588
2015-04-17,163.58,165.5,161.72,165.0,4249688
2015-04-20,165.97,166.05,163.06,164.52,2760903
2015-04-21,168.46,168.88,167.07,167.22,3794835
2015-04-22,169.1,173.6,167.01,173.04,5352211
2015-04-23,169.17,169.55,166.58,167.98,3668072
2015-04-24,167.91,169.25,166.06,168.02,2548315
2015-04-27,162.38,168.72,161.55,168.35,4386166
2015-04-28,162.49,165.3,160.63,162.15,4262824
2015-04-29,160.98,163.46,159.53,161.26,3281784
2015-04-30,157.91,161.71,156.47,159.62,4444334
2015-05-01,160.36,161.6899,158.65,159.5,3260738
2015-05-04,162.11,163.96,161.45,161.54,3496246
2015-05-05,159.44,162.19,159.24,161.45,3085976
2015-05-06,158.95,160.3899,156.65,159.995,3762665
2015-05-07,157.9,159.82,157.2,159.04,4373959
2015-05-08,162.34,162.86,159.13,159.78,4664237
2015-05-11,161.05,162.9899,161.0,162.34,2723844
2015-05-12,158.24,159.26,155.71,158.87,4359734
2015-05-13,158.39,161.24,157.65,159.18,2726993
2015-05-14,161.98,162.16,158.19,159.94,2717473
2015-05-15,162.36,163.63,161.68,163.27,2385315
2015-05-18,163.44,163.9004,161.271,161.85,2154027
2015-05-19,163.56,164.12,162.46,163.84,1747501
2015-05-20,163.98,165.59,162.4,163.99,2027270
2015-05-21,163.84,164.73,162.82,163.25,2156599
2015-05-22,163.58,164.57,163.03,163.55,1636048
2015-05-25,163.58,163.58,163.58,163.58,0
2015-05-26,159.01,162.46,158.0,160.65,4078264
2015-05-27,160.44,161.0,159.275,159.96,3336336
2015-05-28,157.35,159.6,155.83,159.55,4205346
2015-05-29,156.26,157.97,155.58,156.9,4414342
2015-06-01,157.03,158.0,155.5,157.59,2850072
2015-06-02,156.44,157.97,154.8,156.97,2497226
2015-06-03,157.13,157.86,156.4,157.45,2160452
2015-06-04,158.09,158.47,156.3,156.6,3917696
2015-06-05,157.25,159.4,156.03,158.5,3431708
2015-06-08,156.47,158.47,155.63,157.35,2082834
2015-06-09,154.8,157.11,153.91,156.55,2766040
2015-06-10,155.55,155.88,150.85,153.4,5972768
2015-06-11,157.96,158.97,156.44,157.91,3633420
2015-06-12,156.12,157.74,155.01,157.455,2398104
2015-06-15,156.1,156.37,153.57,154.75,2585201
2015-06-16,156.23,156.81,155.09,155.73,1723290
