Date,Close,High,Low,Open,Volume
2015-01-01,132.25,132.25,132.25,132.25,0
2015-01-02,132.09,133.4899,130.71,132.98,622175
2015-01-05,127.85,131.3,127.21,130.78,1068604
2015-01-06,124.41,128.22,123.48,127.83,1307628
2015-01-07,126.62,127.04,124.81,125.75,1271145
2015-01-08,128.87,129.37,127.75,128.53,1681386
2015-01-09,127.68,129.62,127.26,129.33,843695
2015-01-12,126.38,127.69,125.42,127.52,908783
2015-01-13,127.3,129.93,126.32,128.13,1177656
2015-01-14,124.97,125.66,123.12,124.9,1199916
2015-01-15,122.86,125.65,122.73,125.13,889283
2015-01-16,124.66,124.74,121.49,122.96,935180
2015-01-19,124.66,124.66,124.66,124.66,0
2015-01-20,125.16,125.87,123.83,125.0,1020628
2015-01-21,126.34,126.83,123.84,125.16,1173666
2015-01-22,130.23,130.53,125.93,127.19,1185768
2015-01-23,129.48,130.5,128.96,130.23,1241656
2015-01-26,130.78,131.07,128.7001,129.37,1077686
2015-01-27,129.01,130.12,127.98,129.05,717523
2015-01-28,126.39,129.99,126.285,129.99,1444186
2015-01-29,128.26,130.14,126.35,129.06,1637686
2015-01-30,124.94,127.81,124.77,127.13,1367885
2015-02-02,128.76,128.93,124.63,125.88,1173603
2015-02-03,132.52,132.66,129.4,129.81,1338162
2015-02-04,131.88,133.24,131.33,132.35,1274150
2015-02-05,132.48,133.08,130.75,131.4,916064
2015-02-06,134.79,136.445,133.55,133.55,1316497
2015-02-09,134.69,134.88,133.51,134.54,857378
2015-02-10,136.17,136.46,135.22,136.3,909128
2015-02-11,136.24,136.66,135.19,135.94,858598
2015-02-12,137.57,137.69,136.16,136.24,755897
2015-02-13,137.81,138.19,136.86,137.65,702334
2015-02-16,137.81,137.81,137.81,137.81,0
2015-02-17,137.53,138.26,137.07,137.56,914974
2015-02-18,135.86,137.28,135.36,137.21,945939
2015-02-19,135.85,136.46,135.37,135.5,883239
2015-02-20,136.2,136.28,134.3,135.39,1344543
2015-02-23,134.76,136.37,134.0,136.37,899966
2015-02-24,135.48,136.75,134.64,134.64,1039906
2015-02-25,135.32,135.85,134.77,135.06,571799
2015-02-26,135.34,136.05,134.794,135.42,549940
2015-02-27,133.63,136.02,133.58,135.33,896166
2015-03-02,134.9,135.95,133.33,133.33,898344
2015-03-03,134.47,135.16,133.62,134.42,823296
2015-03-04,133.62,134.2299,133.15,133.77,912441
2015-03-05,134.41,134.62,133.59,134.01,647346
2015-03-06,132.98,137.07,132.72,134.12,1091647
2015-03-09,134.14,134.56,132.98,132.98,794442
2015-03-10,130.24,132.29,130.24,132.29,774795
2015-03-11,130.63,131.47,130.02,130.03,733559
2015-03-12,134.44,134.53,131.67,131.73,849540
2015-03-13,133.36,134.48,132.34,134.43,867227
2015-03-16,135.73,135.91,134.172,134.47,627214
2015-03-17,134.88,135.19,133.88,134.76,679728
2015-03-18,135.37,136.4899,133.75,134.58,1103161
2015-03-19,133.34,135.34,132.72,135.1,1005775
2015-03-20,136.17,136.69,133.75,134.23,1355100
2015-03-23,134.99,136.99,134.99,136.52,771688
2015-03-24,133.09,135.24,133.09,134.57,850042
2015-03-25,130.51,133.25,130.51,132.98,970502
2015-03-26,130.25,131.4,129.18,129.77,903620
2015-03-27,129.05,130.51,128.49,129.76,1003347
2015-03-30,131.02,131.51,130.06,130.5,1012590
2015-03-31,130.84,131.78,129.93,130.27,973509
2015-04-01,130.46,131.28,129.58,130.76,817691
2015-04-02,130.19,131.17,129.67,130.14,1225774
2015-04-03,130.19,130.19,130.19,130.19,0
2015-04-06,129.43,130.19,128.06,128.58,877038
2015-04-07,128.16,130.175,128.16,129.61,912100
2015-04-08,128.72,129.17,127.75,128.71,1343021
2015-04-09,125.28,129.45,123.88,128.7,2728877
2015-04-10,124.53,125.73,120.83,125.5,4061361
2015-04-13,126.63,127.83,124.1,124.32,2489811
2015-04-14,128.27,130.86,125.39,126.5,3750739
2015-04-15,128.92,131.45,128.16,129.95,3403349
2015-04-16,130.77,131.48,129.37,130.0,2331052
2015-04-17,129.19,130.34,128.54,129.93,1505827
2015-04-20,130.55,130.93,129.574,129.97,1123316
2015-04-21,130.33,130.9859,129.8,130.79,1570381
2015-04-22,131.62,131.76,128.75,130.47,1615329
2015-04-23,127.17,128.03,125.29,127.26,4336481
2015-04-24,127.75,128.11,126.41,126.68,1522755
2015-04-27,126.69,128.71,126.445,128.13,1529370
2015-04-28,127.14,127.28,125.65,126.0,1351948
2015-04-29,127.49,128.41,126.53,126.57,1466761
2015-04-30,125.28,127.49,125.0603,126.63,1419602
2015-05-01,125.41,126.69,124.34,126.1,1191096
2015-05-04,125.99,126.35,125.01,125.68,1011787
2015-05-05,124.62,126.5,124.41,125.71,1120636
2015-05-06,123.49,125.44,122.35,125.27,1629077
2015-05-07,124.56,125.0,123.01,123.12,1494349
2015-05-08,126.35,126.96,125.11,126.09,1469011
2015-05-11,125.42,127.01,125.35,126.17,1106668
2015-05-12,124.73,125.25,123.41,124.52,975750
2015-05-13,126.5,126.89,124.56,124.65,1819574
2015-05-14,128.3,128.32,126.73,127.48,956667
2015-05-15,128.0,128.44,127.1,128.38,1115840
2015-05-18,128.97,129.01,127.39,127.58,1094157
2015-05-19,128.97,129.8,128.4904,129.31,881973
2015-05-20,128.46,129.13,128.0,128.82,1248438
2015-05-21,128.29,128.6368,127.9512,127.98,755748
2015-05-22,128.27,129.035,127.77,128.15,730382
2015-05-25,128.27,128.27,128.27,128.27,0
2015-05-26,126.81,128.39,126.69,127.86,1437117
2015-05-27,126.88,127.45,126.6,127.0,1381915
2015-05-28,127.01,127.14,125.95,126.67,1101465
2015-05-29,124.59,127.15,124.57,126.68,1674458
2015-06-01,124.59,125.34,123.82,124.65,1254101
2015-06-02,126.08,127.11,124.405,124.59,1617067
2015-06-03,127.36,128.33,126.08,126.77,1410868
2015-06-04,125.33,126.83,124.52,124.52,1124228
2015-06-05,126.61,127.34,125.66,126.58,1487321
2015-06-08,126.13,127.48,126.08,126.96,1148638
2015-06-09,126.33,126.69,125.46,125.94,1069576
2015-06-10,129.86,130.12,127.28,127.28,1692452
2015-06-11,129.63,130.69,129.28,130.04,1136269
2015-06-12,128.33,129.26,128.01,129.13,822567
2015-06-15,127.89,128.39,126.48,126.89,921851
2015-06-16,128.47,128.63,127.17,127.17,615585
2015-06-17,128.35,129.32,127.97,128.9,950431
2015-06-18,129.48,129.78,128.27,128.91,812853
2015-06-19,127.84,129.79,127.68,128.89,1278399
2015-06-22,129.35,129.75,128.47,129.34,1039957
2015-06-23,129.76,129.99,128.8,129.23,1376471
2015-06-24,128.38,129.7,128.2,128.86,1387827
2015-06-25,127.86,129.22,127.77,129.22,1259632
2015-06-26,128.42,128.93,127.75,128.9,2627000
2015-06-29,123.79,126.96,123.67,126.77,1574666
2015-06-30,124.93,125.74,124.09,125.08,1545159
2015-07-01,126.15,127.63,125.44,126.99,1030740
2015-07-02,125.23,126.57,124.61,125.98,1237882
2015-07-03,125.23,125.23,125.23,125.23,0
2015-07-06,123.68,124.77,122.83,123.45,1442595
2015-07-07,123.83,123.97,121.16,123.63,1342237
2015-07-08,121.97,123.48,121.55,122.76,1647022
2015-07-09,123.09,124.9,122.45,123.87,935814
2015-07-10,123.68,123.95,121.73,122.0,1599092
2015-07-13,125.45,125.59,124.515,125.05,717214
2015-07-14,125.67,125.96,124.35,125.02,901060
2015-07-15,125.93,126.805,125.2,126.05,1042261
2015-07-16,127.89,128.35,127.24,127.81,1210126
2015-07-17,127.63,127.9003,126.87,127.51,1038372
2015-07-20,128.29,128.85,127.39,128.19,860213
2015-07-21,127.64,129.19,127.34,128.6,1320570
2015-07-22,126.81,127.9,126.67,127.5,1648819
2015-07-23,126.21,129.22,125.96,128.68,1879825
2015-07-24,124.04,126.66,123.43,126.18,1299090
2015-07-27,122.96,123.67,122.09,123.65,1138882
2015-07-28,125.26,125.35,123.23,124.28,2056781
