Date,Close,High,Low,Open,Volume
2015-01-01,98.85,98.85,98.85,98.85,0
2015-01-02,99.67,99.91,98.9,99.16,1462901
2015-01-05,98.23,99.68,97.95,99.68,2124697
2015-01-06,97.97,98.92,97.93,98.3,2329516
2015-01-07,99.0,99.34,98.05,98.56,1855173
2015-01-08,99.92,100.2,99.33,99.57,2214849
2015-01-09,99.41,100.26,98.98,100.04,1323725
2015-01-12,98.98,99.834,98.95,99.65,1488997
2015-01-13,97.88,99.72,97.26,99.55,2070179
2015-01-14,97.26,97.94,97.01,97.38,2365452
2015-01-15,96.28,98.37,96.2,97.64,3060476
2015-01-16,97.42,97.55,95.87,96.25,2435074
2015-01-19,97.42,97.42,97.42,97.42,0
2015-01-20,97.13,98.0,96.14,98.0,2011374
2015-01-21,96.75,97.61,96.55,96.81,1907728
2015-01-22,98.83,98.9265,97.0,97.27,4187128
2015-01-23,99.6,100.36,98.84,99.14,2589843
2015-01-26,101.76,101.88,99.43,100.22,3049478
2015-01-27,100.39,101.36,100.06,100.83,2019445
2015-01-28,98.88,101.4799,98.82,100.7,2129839
2015-01-29,98.42,99.09,97.64,98.73,1957783
2015-01-30,96.95,98.41,96.86,97.65,1990742
2015-02-02,97.85,98.06,95.67,96.95,1918273
2015-02-03,99.09,99.16,97.62,97.74,1669301
2015-02-04,97.85,99.32,97.66,98.88,1697202
2015-02-05,99.59,100.26,98.17,98.29,1901320
2015-02-06,95.73,98.94,95.29,98.87,5384260
2015-02-09,96.7,97.63,95.59,95.65,2811457
2015-02-10,96.37,97.45,95.13,97.17,2965564
2015-02-11,95.96,96.69,94.77,96.59,2445259
2015-02-12,95.97,96.75,95.73,96.28,2101139
2015-02-13,96.4,96.83,95.5,95.95,1748921
2015-02-16,96.4,96.4,96.4,96.4,0
2015-02-17,96.22,97.25,96.08,96.46,3051317
2015-02-18,96.2,96.72,95.475,96.12,2429981
2015-02-19,95.26,96.19,95.19,96.19,1731695
2015-02-20,96.53,96.6,95.24,95.3,3039018
2015-02-23,97.33,97.54,96.278,96.53,2621954
2015-02-24,94.65,96.65,94.05,95.42,6782314
2015-02-25,97.85,98.85,94.38,94.39,6038251
2015-02-26,98.88,100.8,97.42,97.56,18726256
2015-02-27,99.14,99.7,98.7,99.4,4150575
2015-03-02,99.4,99.89,98.76,98.81,2911073
2015-03-03,98.28,99.47,98.15,99.31,3117478
2015-03-04,98.56,98.93,97.69,98.34,3103140
2015-03-05,99.24,99.57,98.37,98.42,2153071
2015-03-06,96.61,98.18,96.2,98.18,3799265
2015-03-09,96.58,97.45,96.37,97.0,2366254
2015-03-10,94.57,96.23,94.51,95.94,2642114
2015-03-11,94.63,95.07,94.24,94.51,2146706
2015-03-12,96.27,96.291,95.0,95.5,2231929
2015-03-13,94.24,96.29,93.89,96.22,2510923
2015-03-16,94.61,95.0,94.04,94.73,2881525
2015-03-17,94.12,94.88,93.85,94.45,2764384
2015-03-18,95.51,95.98,93.21,94.1,3494273
2015-03-19,94.59,95.62,94.57,95.5,2758077
2015-03-20,97.69,97.77,94.39,94.7,3581010
2015-03-23,97.64,98.31,97.35,97.72,1888387
2015-03-24,97.16,98.01,97.15,97.77,2271906
2015-03-25,95.47,97.38,95.47,97.13,1827352
2015-03-26,95.2,95.885,94.61,94.62,1474606
2015-03-27,96.04,96.37,95.58,95.8,2379823
2015-03-30,96.16,96.74,95.72,96.31,2564895
2015-03-31,94.15,96.62,94.15,95.81,4335407
2015-04-01,96.46,97.24,95.61,96.26,3388944
2015-04-02,96.78,97.29,96.4,96.56,1526934
2015-04-03,96.78,96.78,96.78,96.78,0
2015-04-06,98.04,98.16,96.5,96.69,2604672
2015-04-07,96.87,98.64,96.86,98.04,2338535
2015-04-08,96.53,97.57,96.21,96.67,1344292
2015-04-09,95.34,96.61,95.22,96.28,1737026
2015-04-10,95.07,95.95,95.01,95.55,1468901
2015-04-13,94.78,95.79,94.78,95.0,1645554
2015-04-14,94.5,95.14,93.89,94.8,2372801
2015-04-15,95.17,96.57,95.09,96.0,2404172
2015-04-16,96.76,96.94,94.45,94.57,2774572
2015-04-17,96.1,96.55,95.32,96.24,2320877
2015-04-20,95.84,96.5,95.51,96.14,2222639
2015-04-21,94.98,96.2,94.83,95.84,2150265
2015-04-22,95.92,96.04,94.86,94.98,1837475
2015-04-23,96.04,96.44,95.27,95.79,1335636
2015-04-24,95.32,96.44,95.28,95.93,2210713
2015-04-27,95.19,96.03,95.02,95.68,1885803
2015-04-28,95.76,95.78,94.87,94.94,1652500
2015-04-29,93.51,95.62,93.5,95.12,3132928
2015-04-30,94.53,96.83,94.09,96.38,4171977
2015-05-01,93.48,94.85,93.11,94.65,3110338
2015-05-04,94.64,94.75,93.28,93.45,2480088
2015-05-05,93.0,94.98,92.86,94.65,3092818
2015-05-06,92.86,93.9324,92.24,93.06,3276300
2015-05-07,93.63,94.03,92.65,92.92,1913652
2015-05-08,94.95,95.17,94.08,94.75,2055772
2015-05-11,93.65,94.85,93.13,94.4,2369101
2015-05-12,93.6,93.86,92.1,93.06,2170813
2015-05-13,92.94,94.37,92.51,93.91,3154842
2015-05-14,94.81,94.85,93.165,93.36,2016836
2015-05-15,95.51,95.55,94.0901,94.52,2565335
2015-05-18,95.2,95.74,94.82,95.09,1568009
2015-05-19,95.45,95.77,94.69,94.91,1696847
2015-05-20,94.32,95.33,94.1241,95.33,2370301
2015-05-21,93.9,94.47,93.61,94.14,2322374
2015-05-22,94.35,94.86,93.34,93.76,2274003
2015-05-25,94.35,94.35,94.35,94.35,0
2015-05-26,94.61,94.69,93.63,94.06,2670123
2015-05-27,95.16,95.35,94.01,94.56,2485382
2015-05-28,94.6,94.98,94.0101,94.82,2803353
2015-05-29,92.79,94.7,92.58,94.7,5166869
2015-06-01,94.23,94.4,92.59,92.7,2590858
2015-06-02,94.15,94.66,93.54,94.01,2294345
2015-06-03,92.68,94.01,92.64,93.86,3080604
2015-06-04,94.67,95.69,92.83,92.98,4211008
2015-06-05,92.52,94.31,92.5,94.26,4130574
2015-06-08,92.83,93.38,92.45,92.63,2936294
2015-06-09,92.07,93.03,91.99,92.86,2406295
2015-06-10,92.7,93.4,91.995,92.18,1377714
2015-06-11,93.42,93.84,92.67,93.06,1744354
2015-06-12,93.2,93.57,92.71,93.12,1422661
2015-06-15,92.26,92.77,91.99,92.25,1616852
2015-06-16,93.26,93.34,92.16,92.28,1676377
2015-06-17,94.12,94.49,92.87,93.28,2347751
2015-06-18,96.18,96.29,94.01,94.38,3393738
2015-06-19,95.97,97.06,95.97,96.26,3612232
2015-06-22,95.79,96.65,95.7,96.26,1574269
2015-06-23,96.25,96.35,94.99,95.07,1848089
2015-06-24,95.08,96.3899,95.08,96.25,1692567
2015-06-25,94.74,96.97,94.645,95.37,1299338
2015-06-26,94.24,94.87,93.67,94.85,2707859
2015-06-29,92.94,94.75,92.87,94.14,1569020
2015-06-30,93.29,93.83,92.97,93.65,2034214
2015-07-01,94.01,94.0799,93.18,93.88,1805806
2015-07-02,94.91,95.1,94.04,94.65,1856500
2015-07-03,94.91,94.91,94.91,94.91,0
2015-07-06,94.98,95.15,94.5,94.5,2076778
2015-07-07,95.63,95.87,94.495,95.54,1601226
2015-07-08,94.48,95.6,94.32,95.18,1167205
2015-07-09,94.39,95.73,94.1,95.31,1350257
2015-07-10,95.42,95.96,94.42,94.83,1972993
2015-07-13,95.7,96.5501,95.31,96.04,1684439
2015-07-14,95.48,96.27,95.426,95.81,1469033
2015-07-15,95.95,96.08,95.26,95.74,1684279
2015-07-16,97.82,98.02,96.368,96.5,2632524
2015-07-17,96.95,97.82,96.44,97.74,1588605
2015-07-20,97.06,97.16,96.1,96.68,2229002
2015-07-21,96.95,97.76,96.58,96.82,1652250
2015-07-22,96.54,97.22,96.285,96.81,1393766
2015-07-23,98.0,98.0999,96.48,96.48,3172779
2015-07-24,96.79,98.31,96.64,98.2,2361289
2015-07-27,96.48,97.43,96.23,96.76,2057125
2015-07-28,96.68,97.0,95.94,96.59,2563461
2015-07-29,96.32,97.47,93.77,95.66,3657633
2015-07-30,94.95,96.04,94.75,96.04,1746393
2015-07-31,95.11,95.92,94.85,95.03,2710896
2015-08-03,95.36,95.53,94.85,95.25,2229521
