Date,Close,High,Low,Open,Volume
2015-01-01,310.35,310.35,310.35,310.35,0
2015-01-02,308.52,314.75,306.9601,312.5,2788101
2015-01-05,302.19,308.38,300.85,307.02,2774231
2015-01-06,295.29,303.0,292.38,302.2,3519034
2015-01-07,298.42,301.28,295.33,297.54,2640349
2015-01-08,300.46,303.14,296.11,300.59,3088398
2015-01-09,296.93,302.87,296.68,301.5,2592360
2015-01-12,291.41,298.51,289.281,297.96,3421392
2015-01-13,294.74,301.4976,293.23,297.48,4136441
2015-01-14,293.27,295.91,286.503,291.93,5538666
2015-01-15,286.95,295.9995,286.815,294.0,4419196
2015-01-16,290.74,290.79,285.25,286.15,3478176
2015-01-19,290.74,290.74,290.74,290.74,0
2015-01-20,289.44,293.3599,286.39,292.59,3075081
2015-01-21,297.25,306.0,287.26,289.64,10065076
2015-01-22,310.32,312.25,300.0,300.0,5362640
2015-01-23,312.39,316.93,307.72,308.08,4496419
2015-01-26,309.66,313.0,307.5201,312.0,3169665
2015-01-27,306.75,310.243,302.625,306.3,2920315
2015-01-28,303.91,311.51,303.8,309.5,3063774
2015-01-29,311.78,312.8,299.33,304.73,8656567
2015-01-30,354.53,359.5,340.74,346.32,23856060
2015-02-02,364.47,365.0,350.01,350.05,10231914
2015-02-03,363.55,367.817,360.21,360.29,6212565
2015-02-04,364.75,367.5,358.23,358.38,4169927
2015-02-05,373.89,378.8,365.9,366.0,7247605
2015-02-06,374.28,375.9899,371.01,374.87,3892382
2015-02-09,370.56,374.41,367.2,371.0,2724630
2015-02-10,372.995,374.3,368.51,371.19,2287232
2015-02-11,375.14,377.1,371.1,371.23,2786523
2015-02-12,377.17,378.51,373.15,375.0,2791050
2015-02-13,381.83,383.0,377.01,378.31,3475069
2015-02-16,381.83,381.83,381.83,381.83,0
2015-02-17,375.43,379.985,372.67,378.83,3673208
2015-02-18,373.37,376.74,372.85,373.78,2650610
2015-02-19,378.995,381.88,373.43,373.43,2953752
2015-02-20,383.66,383.7,375.84,378.61,3258023
2015-02-23,380.14,384.54,378.0,383.37,2176989
2015-02-24,378.59,380.48,376.16,378.64,1921850
