Date,Close,High,Low,Open,Volume
2015-01-01,82.5,82.5,82.5,82.5,0
2015-01-02,82.29,82.74,80.7274,80.97,4472847
2015-01-05,75.8,80.87,75.04,80.87,8958380
2015-01-06,75.24,77.39,74.39,75.37,6806224
2015-01-07,76.44,78.17,75.73,76.59,6262188
2015-01-08,78.91,79.05,76.63,77.49,6229225
2015-01-09,79.14,79.63,77.7,78.91,4248429
2015-01-12,75.05,77.4,74.66,77.4,7511665
2015-01-13,75.8,76.54,74.61,75.1,5527450
2015-01-14,77.35,77.46,73.82,74.52,7527183
2015-01-15,75.48,78.95,75.41,78.9,4178330
2015-01-16,78.45,78.8,76.38,76.83,5487085
2015-01-19,78.45,78.45,78.45,78.45,0
2015-01-20,77.77,77.98,76.18,77.87,5492954
2015-01-21,80.74,80.835,78.28,78.8,6113462
2015-01-22,81.52,81.56,78.87,81.14,5254147
2015-01-23,81.44,83.13,80.82,81.12,5184813
2015-01-26,82.66,83.008,80.01,81.79,3304052
2015-01-27,82.65,84.14,81.4,82.24,4005205
2015-01-28,79.18,82.77,78.97,82.4,7093184
2015-01-29,80.14,80.5,77.95,79.91,6589631
2015-01-30,81.75,82.51,78.67,79.49,5202718
2015-02-02,82.77,83.6,80.76,83.005,7752406
2015-02-03,85.6,86.89,84.24,85.21,9888607
2015-02-04,83.07,84.98,82.46,83.91,5472018
2015-02-05,83.68,84.78,83.024,84.21,4703722
2015-02-06,82.7,84.7,82.27,84.51,5046830
2015-02-09,83.46,84.55,82.94,83.19,3086090
2015-02-10,84.34,84.5,81.67,83.39,4528925
2015-02-11,85.61,85.73,82.41,82.94,4894162
2015-02-12,87.31,87.69,85.96,87.01,7110695
2015-02-13,89.44,90.1,88.089,88.5,5594975
2015-02-16,89.44,89.44,89.44,89.44,0
2015-02-17,88.67,89.4,87.98,88.39,7318387
2015-02-18,86.87,88.76,86.4373,87.44,4712349
2015-02-19,86.1,86.98,82.84,82.84,6215484
2015-02-20,85.45,86.5,84.8467,86.0,3749883
2015-02-23,85.52,86.3,83.95,84.57,3861869
2015-02-24,85.89,86.62,85.01,86.25,3003344
2015-02-25,86.41,86.97,85.1001,85.65,3190496
2015-02-26,85.24,86.19,84.57,85.45,4002373
2015-02-27,84.23,85.7,83.84,85.7,6321673
2015-03-02,82.02,83.9,81.36,83.38,6564662
2015-03-03,82.78,83.69,81.51,81.88,5506768
2015-03-04,83.35,83.6,81.33,82.97,3426730
2015-03-05,82.84,83.338,82.4142,83.32,3312179
2015-03-06,81.73,82.17,80.63,81.83,5386879
2015-03-09,80.77,82.78,80.61,81.49,3296411
2015-03-10,78.99,81.05,78.99,79.72,4601843
2015-03-11,79.49,80.23,78.78,79.23,3134550
2015-03-12,78.19,79.93,78.01,79.84,2972525
2015-03-13,78.42,78.53,77.0,77.55,3577565
2015-03-16,80.64,80.74,77.52,77.85,4590672
2015-03-17,80.44,81.25,79.74,80.15,6100375
2015-03-18,82.59,83.18,79.67,79.97,5485446
2015-03-19,80.43,82.28,79.91,81.04,4001141
2015-03-20,81.95,83.5,80.91,80.91,5062697
2015-03-23,81.04,82.73,80.99,82.27,3865744
2015-03-24,81.41,81.75,80.53,81.34,3503918
2015-03-25,82.34,83.15,81.31,82.22,4056799
2015-03-26,83.2,84.04,82.46,83.5,4060902
2015-03-27,82.19,82.84,81.93,82.81,2432362
2015-03-30,83.85,84.08,82.52,83.51,2828757
2015-03-31,82.81,83.77,82.55,83.05,2397928
2015-04-01,83.86,84.96,83.49,83.76,4170372
2015-04-02,84.55,85.37,82.92,83.3,3567863
2015-04-03,84.55,84.55,84.55,84.55,0
2015-04-06,85.86,86.6,84.8,85.04,3250781
2015-04-07,85.44,86.83,85.4,85.93,3518936
2015-04-08,86.12,87.22,85.38,86.7,5908806
2015-04-09,88.9,89.6,86.51,86.71,5976554
2015-04-10,90.1,90.11,88.74,90.0,4061904
2015-04-13,88.68,91.1,88.54,90.49,4299721
2015-04-14,90.83,90.91,89.21,89.65,4113429
2015-04-15,94.54,94.65,90.77,91.08,7222403
2015-04-16,93.94,94.99,93.72,94.56,5076531
2015-04-17,93.68,93.81,91.39,93.43,6560451
2015-04-20,93.66,95.94,93.34,93.9,7866624
2015-04-21,92.56,94.22,92.12,93.31,3091857
2015-04-22,93.04,93.62,91.9001,93.09,2651547
2015-04-23,93.46,94.72,92.96,93.1,2639294
2015-04-24,92.65,93.34,92.2,92.94,3426548
2015-04-27,93.16,94.015,92.8,93.69,2424079
2015-04-28,93.66,94.35,92.73,93.0,2251428
2015-04-29,93.9,95.0,92.84,93.3,3339145
2015-04-30,94.1,94.715,92.76,94.2,5498374
2015-05-01,93.92,94.3,92.82,93.93,2211644
2015-05-04,93.73,95.2,92.79,94.43,5065235
2015-05-05,89.32,95.75,89.06,93.67,9411401
2015-05-06,89.66,91.75,89.14,90.62,4731154
2015-05-07,88.77,89.75,87.68,89.69,5234333
2015-05-08,88.56,89.71,87.41,89.64,5394347
2015-05-11,86.32,88.87,86.21,88.87,4053806
2015-05-12,86.19,87.04,85.5,86.32,4337104
2015-05-13,85.11,87.53,84.62,87.53,4198950
2015-05-14,84.49,86.05,84.36,85.31,3154919
2015-05-15,84.67,85.29,83.09,83.95,4536728
2015-05-18,84.98,85.06,83.73,84.44,3169627
2015-05-19,83.56,84.56,83.4,84.23,4105895
2015-05-20,83.4,84.05,82.89,83.52,2629964
2015-05-21,85.6,85.66,83.5,83.77,3907136
2015-05-22,86.17,86.55,84.34,84.53,4026816
2015-05-25,86.17,86.17,86.17,86.17,0
2015-05-26,84.18,85.72,83.81,85.27,3596635
2015-05-27,84.15,85.319,83.5,84.5,3492098
2015-05-28,83.92,84.74,82.831,84.31,3087900
2015-05-29,83.61,84.53,83.3651,84.24,4045241
2015-06-01,83.84,84.14,83.25,83.96,2830521
2015-06-02,84.79,85.43,82.885,84.48,2994967
2015-06-03,83.92,85.36,83.87,84.55,4360170
2015-06-04,83.4,83.85,82.6801,83.11,2284962
2015-06-05,84.49,85.2,82.82,83.01,3000129
2015-06-08,82.96,84.7,82.69,83.78,3846817
2015-06-09,83.22,84.7,83.095,83.84,4515173
2015-06-10,84.61,84.79,83.81,84.55,2120108
2015-06-11,83.93,84.95,83.72,84.55,1845108
2015-06-12,83.12,83.5,82.75,83.43,3578569
2015-06-15,82.67,83.36,82.36,82.45,1892500
2015-06-16,83.61,83.84,82.52,82.52,1515215
2015-06-17,83.03,84.71,82.64,84.42,2008813
2015-06-18,82.89,83.69,82.73,83.58,2408410
2015-06-19,81.82,83.07,81.67,82.11,4014058
2015-06-22,81.97,82.44,81.27,82.42,1993420
2015-06-23,82.22,82.69,81.66,82.24,1940991
2015-06-24,81.45,82.63,81.26,82.06,3847381
2015-06-25,80.73,81.82,80.68,81.7,3039538
2015-06-26,81.36,81.39,79.815,80.67,3973796
2015-06-29,78.59,80.79,78.5,80.09,3931712
2015-06-30,78.06,79.3,77.7526,79.11,4270814
2015-07-01,77.18,78.7,76.5635,78.26,5155217
2015-07-02,76.78,77.99,76.72,77.38,3474390
2015-07-03,76.78,76.78,76.78,76.78,0
2015-07-06,76.38,77.45,75.17,75.6,3967671
2015-07-07,77.92,78.33,75.291,76.65,5979068
2015-07-08,75.47,77.62,75.11,77.53,3653087
2015-07-09,76.08,77.32,76.0,76.84,3702798
2015-07-10,75.71,77.39,75.39,76.75,3381679
2015-07-13,75.7,76.49,75.375,75.63,3480353
2015-07-14,76.37,76.64,75.34,75.5,5639051
2015-07-15,75.2,76.707,74.84,75.62,4723560
2015-07-16,74.69,76.15,74.33,76.15,4296594
2015-07-17,73.88,74.63,73.35,74.53,4012775
2015-07-20,72.62,73.65,72.29,73.61,4795648
2015-07-21,73.37,74.12,72.88,73.15,4907584
2015-07-22,72.66,73.61,72.35,72.83,5266989
2015-07-23,72.54,73.07,71.65,72.8,3054192
2015-07-24,71.61,72.54,71.03,72.4,3418775
2015-07-27,69.99,71.51,69.72,70.56,4734234
2015-07-28,72.85,73.4,69.4003,70.21,6229540
2015-07-29,76.28,77.5,73.75,74.95,7818149
2015-07-30,76.63,77.27,75.52,76.2,3999753
2015-07-31,74.35,76.16,74.1,76.1,4025825
2015-08-03,73.22,74.64,72.8,73.61,3829043
2015-08-04,74.3,74.57,73.63,73.94,4207422
2015-08-05,74.01,76.29,73.91,75.4,3898475
2015-08-06,76.15,76.39,73.15,73.67,5069060
2015-08-07,73.05,76.76,72.645,75.85,4694427
