Date,Close,High,Low,Open,Volume
2015-01-01,53.81,53.81,53.81,53.81,0
2015-01-02,53.64,54.22,53.18,54.03,788185
2015-01-05,52.66,53.41,52.53,53.26,1197253
2015-01-06,51.99,53.09,51.485,52.7,2082050
2015-01-07,52.88,52.91,52.15,52.5,811280
2015-01-08,53.91,54.02,53.42,53.46,983222
2015-01-09,53.6,54.08,53.58,53.98,615909
2015-01-12,52.95,53.63,52.69,53.56,651339
2015-01-13,52.83,53.95,52.42,53.52,751097
2015-01-14,52.45,52.68,51.8,52.09,887908
2015-01-15,51.93,52.83,51.91,52.73,677417
2015-01-16,52.42,52.47,51.66,51.74,1083214
2015-01-19,52.42,52.42,52.42,52.42,0
2015-01-20,52.35,52.63,51.71,52.5,1551426
2015-01-21,53.93,54.82,51.19,51.99,2708414
2015-01-22,54.76,54.87,53.27,54.15,1388076
2015-01-23,54.91,55.31,54.68,54.88,1399362
2015-01-26,54.79,55.11,54.595,54.72,745621
2015-01-27,54.32,54.71,53.85,54.09,1015125
2015-01-28,53.97,55.28,53.95,54.89,1490856
2015-01-29,54.96,55.07,53.68,54.1,1317654
2015-01-30,53.71,54.8,53.62,54.68,1149096
2015-02-02,54.24,54.32,53.05,53.96,946574
2015-02-03,54.58,54.66,53.92,54.33,1397290
2015-02-04,54.57,54.95,54.11,54.46,811290
2015-02-05,55.24,55.4,54.58,54.66,796011
2015-02-06,55.05,55.62,54.86,55.16,732436
2015-02-09,54.8,55.21,54.55,54.83,676269
2015-02-10,55.74,55.9,54.99,55.23,866319
2015-02-11,55.55,55.92,55.25,55.71,790693
2015-02-12,56.0,56.0,55.58,55.68,559208
2015-02-13,56.39,56.46,55.81,55.87,691031
2015-02-16,56.39,56.39,56.39,56.39,0
2015-02-17,56.0,56.39,55.77,56.37,694804
2015-02-18,56.25,56.35,55.69,55.99,438331
2015-02-19,56.22,56.5,56.0,56.14,406272
2015-02-20,56.92,56.99,55.67,56.19,852858
2015-02-23,56.72,56.93,56.21,56.75,656362
2015-02-24,56.82,56.99,56.41,56.76,1248101
2015-02-25,56.85,57.03,56.594,56.77,835864
2015-02-26,56.8,57.39,56.73,56.98,848938
2015-02-27,56.46,56.97,56.43,56.65,924826
2015-03-02,57.22,57.24,56.32,56.49,1327825
2015-03-03,57.32,57.3628,56.74,57.04,960987
2015-03-04,58.24,58.38,56.87,57.14,1871355
2015-03-05,58.72,58.91,58.1,58.49,1074416
2015-03-06,57.77,58.7,57.64,58.38,1267088
2015-03-09,57.71,57.83,57.41,57.61,1104114
2015-03-10,57.26,57.75,57.15,57.18,1205011
2015-03-11,57.29,57.5,57.11,57.37,801579
2015-03-12,58.29,58.33,57.3,57.36,694357
2015-03-13,57.95,58.5,57.65,58.3,741310
2015-03-16,59.31,59.33,58.108,58.22,1139251
2015-03-17,59.0,59.1,58.49,59.01,936368
2015-03-18,60.2,60.5,58.63,58.84,1062662
2015-03-19,59.97,60.26,59.85,60.09,1148046
2015-03-20,60.05,60.539,59.94,60.22,2047568
2015-03-23,59.74,60.2291,59.72,60.15,1367402
2015-03-24,59.09,59.93,58.95,59.74,1049138
2015-03-25,57.61,59.27,57.61,59.06,1054588
2015-03-26,57.5,57.71,56.74,57.46,2057039
2015-03-27,57.64,57.77,57.28,57.53,1279253
2015-03-30,58.77,58.87,58.07,58.39,841899
2015-03-31,58.93,59.185,58.1615,58.33,1317570
2015-04-01,58.28,58.78,57.83,58.66,1335323
2015-04-02,58.8,58.9008,58.04,58.04,840224
2015-04-03,58.8,58.8,58.8,58.8,0
2015-04-06,58.97,59.19,58.26,58.46,1017153
2015-04-07,58.84,59.02,58.68,58.81,838922
2015-04-08,59.21,59.22,58.53,58.78,726019
2015-04-09,59.3,59.46,58.88,59.13,578342
2015-04-10,59.54,59.55,59.14,59.3,539224
2015-04-13,59.01,59.61,58.89,59.38,734996
2015-04-14,58.93,59.04,58.45,58.81,835747
2015-04-15,59.22,59.51,58.89,59.05,952503
2015-04-16,58.76,59.25,58.735,58.97,808951
2015-04-17,57.96,58.37,57.77,58.31,899073
2015-04-20,58.44,58.71,58.345,58.37,882191
2015-04-21,58.16,58.97,58.16,58.7,1594593
2015-04-22,56.81,57.69,55.53,56.64,2147278
2015-04-23,56.7,57.02,56.08,56.36,1173456
2015-04-24,56.17,56.68,56.1,56.68,1271714
2015-04-27,56.22,56.36,55.89,56.15,1202465
2015-04-28,55.99,56.24,55.61,56.06,1330636
2015-04-29,55.79,55.9,55.42,55.58,883015
2015-04-30,55.37,55.78,54.95,55.43,1218060
2015-05-01,56.49,56.52,55.57,55.77,1163947
2015-05-04,56.83,56.99,56.53,56.53,838300
2015-05-05,55.92,56.9,55.832,56.69,884706
2015-05-06,55.7,56.22,55.42,56.22,776191
2015-05-07,55.75,55.94,55.59,55.84,596430
2015-05-08,56.81,56.85,56.19,56.24,637336
2015-05-11,57.15,57.28,56.32,56.59,1319809
2015-05-12,56.77,57.11,56.6,56.8,853237
2015-05-13,56.95,57.6,56.81,56.98,825962
2015-05-14,58.08,58.13,57.16,57.43,733887
2015-05-15,57.78,58.17,57.62,57.86,578724
2015-05-18,58.16,58.17,57.58,57.58,506768
2015-05-19,58.06,58.4,57.99,58.33,521219
2015-05-20,58.27,58.44,57.9001,58.0,705070
2015-05-21,57.97,58.49,57.78,58.42,667966
2015-05-22,57.93,58.07,57.54,57.78,841334
2015-05-25,57.93,57.93,57.93,57.93,0
2015-05-26,57.18,57.87,57.0,57.37,963772
2015-05-27,57.65,57.72,56.69,57.37,1065889
2015-05-28,57.63,57.76,57.42,57.59,769037
2015-05-29,57.05,57.75,57.03,57.59,830262
2015-06-01,57.2,57.33,56.61,57.11,1081524
2015-06-02,57.66,57.92,56.585,56.99,963332
2015-06-03,57.88,58.16,57.41,57.67,733738
2015-06-04,56.95,57.63,56.87,57.63,845210
2015-06-05,57.14,57.27,56.57,56.79,525382
2015-06-08,56.86,57.22,56.71,57.09,713471
2015-06-09,56.69,56.96,56.52,56.59,560103
2015-06-10,57.39,57.48,56.82,56.87,452386
2015-06-11,57.5,57.63,57.27,57.5,531394
2015-06-12,57.69,57.79,56.94,57.15,1024705
2015-06-15,56.99,57.27,56.66,57.27,707496
2015-06-16,57.15,57.46,56.84,57.0,687148
2015-06-17,57.03,57.51,56.7,57.33,673519
2015-06-18,58.2,58.25,57.12,57.22,795108
2015-06-19,57.69,58.09,57.67,57.92,962687
2015-06-22,57.93,58.17,57.7,58.09,480988
2015-06-23,57.73,57.96,57.5,57.91,665142
2015-06-24,56.79,57.85,56.72,57.74,935805
2015-06-25,56.18,56.99,56.11,56.9,680413
2015-06-26,55.68,56.48,55.58,56.24,1414725
2015-06-29,56.84,58.17,55.5,55.63,5048328
2015-06-30,57.97,58.64,57.48,57.48,2770538
2015-07-01,57.45,58.51,57.22,58.5,1590960
2015-07-02,56.99,57.76,56.76,57.4,1439953
2015-07-03,56.99,56.99,56.99,56.99,0
2015-07-06,56.02,56.9,55.785,56.41,1765360
2015-07-07,55.89,56.25,55.12,56.01,1866166
2015-07-08,54.2,55.45,54.19,55.33,1323194
2015-07-09,54.29,55.09,54.18,55.06,915422
2015-07-10,54.51,55.11,54.23,55.0,1071040
2015-07-13,55.38,55.41,54.72,54.92,981436
2015-07-14,55.15,55.47,55.07,55.28,851313
2015-07-15,55.0,55.56,54.92,55.22,1458305
2015-07-16,54.95,55.54,54.84,55.36,910481
2015-07-17,54.32,55.08,53.98,55.02,1687441
2015-07-20,54.35,54.55,54.0801,54.46,1299725
2015-07-21,54.09,54.77,53.99,54.39,1761202
2015-07-22,56.78,56.88,54.75,55.15,2663147
2015-07-23,56.26,57.4,56.25,56.99,1082239
2015-07-24,55.86,56.64,55.72,56.21,963175
2015-07-27,54.75,55.87,54.59,55.68,1307305
2015-07-28,56.55,56.64,54.82,54.93,1706888
2015-07-29,57.05,57.15,55.91,56.48,1439695
2015-07-30,56.91,57.2,56.69,57.06,760420
2015-07-31,56.41,57.41,56.3,57.1,643681
2015-08-03,55.94,56.45,55.53,56.21,660777
2015-08-04,55.6,56.07,55.46,55.91,564572
2015-08-05,56.09,56.4199,55.77,55.99,605281
2015-08-06,55.74,56.5,55.66,55.98,497615
2015-08-07,55.56,55.77,55.09,55.6,557284
2015-08-10,56.63,56.988,55.96,56.62,797501
2015-08-11,55.92,56.25,55.66,56.07,932332
2015-08-12,55.75,55.88,54.77,55.53,790748
2015-08-13,55.45,56.13,55.44,55.8,692146
2015-08-14,55.57,55.61,55.11,55.37,540119
2015-08-17,55.79,55.79,55.07,55.22,684991
2015-08-18,55.2,55.87,55.11,55.79,546198
2015-08-19,55.23,55.36,54.36,54.84,943341
2015-08-20,54.12,55.07,54.12,54.7,1135625
2015-08-21,51.84,53.77,51.81,53.68,1714817
2015-08-24,49.06,54.14,47.44,48.76,2208624
2015-08-25,49.59,51.09,49.56,50.78,3373477
2015-08-26,50.59,51.12,48.914,50.96,1823303
2015-08-27,53.22,53.23,51.11,51.2,2675637
2015-08-28,52.88,53.65,52.51,53.03,1550415
2015-08-31,52.36,53.13,52.24,52.56,1080234
2015-09-01,50.38,51.4,50.13,51.1,2216511
2015-09-02,51.94,51.94,50.54,51.06,1669028
2015-09-03,51.98,52.74,51.79,51.98,1345626
2015-09-04,50.75,51.37,50.41,51.26,1320403
2015-09-07,50.75,50.75,50.75,50.75,0
2015-09-08,51.61,52.01,51.05,51.61,1955974
2015-09-09,50.61,52.34,50.48,52.17,1845308
2015-09-10,51.4,51.725,50.12,50.31,1697913
2015-09-11,51.55,51.56,50.94,51.0,1719279
2015-09-14,51.51,51.79,51.16,51.59,1355520
2015-09-15,52.28,52.48,51.61,51.89,1201852
2015-09-16,52.71,52.76,51.99,52.14,1287579
2015-09-17,52.85,53.74,52.69,52.79,1572435
2015-09-18,51.94,52.6,51.82,52.1,2110624
2015-09-21,52.01,52.51,51.568,52.08,900074
2015-09-22,50.69,51.41,50.48,51.14,1027983
2015-09-23,50.48,50.94,50.175,50.62,722503
2015-09-24,50.06,50.22,49.3,49.98,1356799
2015-09-25,50.62,51.06,50.34,50.55,960865
2015-09-28,49.47,50.38,49.26,50.2,1283258
2015-09-29,49.72,49.96,49.34,49.5,973690
2015-09-30,50.96,51.06,50.1,50.55,1564588
2015-10-01,50.03,51.015,49.48,50.86,1735936
2015-10-02,50.51,50.51,49.15,49.39,1981801
2015-10-05,51.78,51.8601,50.71,50.92,948471
2015-10-06,51.24,52.0,51.09,51.86,972790
2015-10-07,51.66,52.25,51.19,51.51,1396791
2015-10-08,52.11,52.15,51.25,51.57,962856
2015-10-09,51.93,52.4,51.76,52.08,684068
2015-10-12,52.03,52.09,51.52,51.87,739077
2015-10-13,51.69,52.12,51.61,51.66,608918
2015-10-14,51.9,52.3,51.49,51.7,1038476
2015-10-15,52.82,52.9875,51.91,52.27,1208260
2015-10-16,53.31,53.47,52.83,53.0,1487852
2015-10-19,53.08,53.24,52.76,53.12,1178760
2015-10-20,53.41,53.49,52.88,53.0,1338234
2015-10-21,50.43,51.5,49.0099,50.0,4713634
2015-10-22,52.08,52.75,50.5,50.57,3045949
2015-10-23,53.53,53.53,52.135,52.37,2615490
2015-10-26,53.83,53.85,53.25,53.3,1518862
2015-10-27,53.99,53.995,53.58,53.61,1600865
2015-10-28,54.43,54.43,53.51,53.89,1936423
2015-10-29,54.4,54.68,53.985,54.29,1221079
2015-10-30,54.22,54.72,54.16,54.52,1100984
2015-11-02,55.07,55.13,54.25,54.25,1172860
2015-11-03,54.88,55.24,54.68,54.91,1604931
2015-11-04,54.93,55.37,54.71,54.96,969679
2015-11-05,54.7,55.19,54.37,54.84,1042824
2015-11-06,55.17,55.25,54.45,54.49,1334571
2015-11-09,54.9,55.115,54.35,54.91,1630605
2015-11-10,54.44,54.61,54.0,54.61,1027462
2015-11-11,54.73,55.08,54.43,54.66,726607
2015-11-12,53.91,54.51,53.91,54.23,762015
2015-11-13,53.0,54.02,52.97,53.67,1080741
2015-11-16,54.53,54.645,53.4,53.76,1115724
2015-11-17,53.87,54.6,53.52,54.54,1307076
2015-11-18,54.8,54.86,53.68,54.03,994231
2015-11-19,54.58,54.99,54.53,54.95,1004213
2015-11-20,54.73,54.98,54.36,54.82,1077271
2015-11-23,55.38,55.4475,54.73,54.86,1120129
2015-11-24,54.69,55.23,54.455,55.09,1514168
2015-11-25,54.76,54.95,54.61,54.67,604710
2015-11-26,54.76,54.76,54.76,54.76,0
2015-11-27,54.96,55.07,54.62,54.75,292654
2015-11-30,55.05,55.27,54.7501,55.19,953183
2015-12-01,55.49,55.68,55.19,55.24,955899
2015-12-02,54.59,55.68,54.52,55.54,864270
2015-12-03,53.62,54.75,53.35,54.73,1036481
2015-12-04,54.79,54.84,53.68,53.89,945016
2015-12-07,54.71,54.93,54.39,54.6,656790
2015-12-08,54.33,54.77,53.9836,54.17,958190
2015-12-09,53.89,54.55,53.34,53.99,1384626
2015-12-10,53.56,54.06,53.34,53.78,1296328
2015-12-11,52.61,53.19,52.47,53.01,905520
2015-12-14,52.83,53.05,52.13,52.58,973951
2015-12-15,52.43,53.26,52.14,53.17,1589499
2015-12-16,52.87,53.07,52.04,52.7,1320977
2015-12-17,52.73,53.5,52.71,52.88,1337045
2015-12-18,51.64,52.46,51.62,52.35,2194978
2015-12-21,52.1,52.62,51.6,52.13,876524
2015-12-22,53.03,53.09,52.22,52.43,945865
2015-12-23,53.54,53.71,53.06,53.29,700899
2015-12-24,53.42,53.64,53.22,53.51,259469
2015-12-25,53.42,53.42,53.42,53.42,0
2015-12-28,53.17,53.54,52.77,53.27,521512
2015-12-29,53.45,53.69,53.06,53.58,517904
2015-12-30,52.93,53.54,52.92,53.39,488752
2015-12-31,52.23,52.81,52.23,52.81,771488
2016-01-01,52.23,52.23,52.23,52.23,0
2016-01-04,50.87,51.27,50.41,51.07,1593500
2016-01-05,50.3,51.19,50.13,50.89,2080044
2016-01-06,49.11,49.74,49.005,49.53,2097624
2016-01-07,47.34,48.565,46.97,48.16,2145188
2016-01-08,46.63,47.68,46.5,47.53,1906687
2016-01-11,46.27,47.265,45.45,47.03,2452758
2016-01-12,47.43,47.51,46.29,46.86,2841829
2016-01-13,46.55,47.74,46.36,47.5,3131410
2016-01-14,46.71,47.085,46.11,46.87,3348373
2016-01-15,45.49,45.94,45.0,45.55,3823272
2016-01-18,45.49,45.49,45.49,45.49,0
2016-01-19,45.42,46.59,45.14,46.02,3286990
2016-01-20,46.51,47.27,44.5,44.54,4375105
2016-01-21,47.78,49.05,46.63,46.93,3918138
2016-01-22,48.7,48.94,48.4,48.53,1920601
2016-01-25,48.18,48.71,48.01,48.54,1700245
2016-01-26,48.58,48.98,48.3,48.34,1822990
2016-01-27,48.39,48.83,48.02,48.39,2257048
2016-01-28,48.46,48.9,48.18,48.76,1583954
2016-01-29,49.57,49.57,48.79,48.79,2085976
2016-02-01,49.87,50.1,49.035,49.1,1734222
2016-02-02,49.2,49.74,49.09,49.19,3035662
2016-02-03,49.05,49.61,48.41,49.46,2258721
2016-02-04,49.57,49.74,48.79,49.04,1573226
2016-02-05,49.55,49.65,49.04,49.27,2644680
2016-02-08,48.98,49.42,48.18,48.96,3374481
2016-02-09,49.04,49.27,48.33,48.49,2515878
2016-02-10,49.72,50.25,49.31,49.35,1849867
2016-02-11,49.01,49.32,48.475,48.76,1650188
2016-02-12,49.54,49.68,48.87,49.46,1613529
2016-02-15,49.54,49.54,49.54,49.54,0
2016-02-16,50.73,50.9,49.97,50.24,1224584
2016-02-17,52.02,52.05,50.945,51.01,1419919
2016-02-18,52.1,52.49,51.87,52.05,1092109
2016-02-19,52.1,52.24,51.65,52.01,1667300
2016-02-22,52.5,52.79,52.12,52.49,1118275
2016-02-23,52.15,52.54,52.08,52.44,1307459
2016-02-24,52.43,52.49,51.47,51.8,825839
2016-02-25,52.72,52.79,51.93,52.43,1098622
2016-02-26,52.94,53.41,52.67,52.87,745370
2016-02-29,53.07,53.66,52.89,52.91,1607996
2016-03-01,54.86,55.37,53.4603,53.56,3133434
2016-03-02,55.19,55.3,54.57,54.74,1206138
2016-03-03,55.83,55.88,54.95,55.11,1175288
2016-03-04,56.2,56.565,55.75,56.0,2200307
2016-03-07,56.73,56.87,55.68,55.75,1626262
2016-03-08,55.68,56.455,55.45,56.41,1844936
2016-03-09,55.78,56.08,55.515,55.81,905347
2016-03-10,55.42,56.06,54.87,55.82,878314
2016-03-11,56.17,56.25,55.59,55.97,857519
2016-03-14,55.67,55.78,55.16,55.5,1373817
2016-03-15,55.52,55.65,54.98,55.18,1638307
2016-03-16,56.41,56.57,55.5,55.56,1383364
2016-03-17,57.11,57.36,56.06,56.28,1236471
2016-03-18,57.64,58.0,57.26,57.43,1689451
2016-03-21,57.19,57.64,57.0,57.59,1268626
2016-03-22,57.27,57.5725,56.8965,57.04,895689
2016-03-23,56.86,57.26,56.755,57.23,665054
2016-03-24,57.17,57.43,56.3205,56.62,1454279
2016-03-25,57.17,57.17,57.17,57.17,0
2016-03-28,57.22,57.46,56.97,57.32,781396
2016-03-29,57.79,57.81,56.74,56.92,781148
2016-03-30,57.71,58.35,57.52,58.07,1138872
2016-03-31,57.82,57.97,57.5401,57.71,1429566
2016-04-01,58.48,58.56,56.97,57.42,1260054
2016-04-04,58.22,58.63,58.08,58.62,926109
2016-04-05,58.21,58.52,57.84,57.93,1543112
2016-04-06,58.4,58.52,57.85,58.02,923941
2016-04-07,57.78,58.32,57.6,58.09,1872039
2016-04-08,58.37,58.88,58.14,58.19,952602
2016-04-11,58.43,59.12,58.2,58.48,904032
2016-04-12,58.28,58.39,57.78,58.24,1286229
