Date,Close,High,Low,Open,Volume
2015-01-01,53.3,53.3,53.3,53.3,0
2015-01-02,53.94,54.04,53.1945,53.3,920588
2015-01-05,53.11,54.1,52.9,53.97,707717
2015-01-06,53.25,53.89,52.92,53.26,1141800
2015-01-07,53.93,54.2,53.46,53.63,528267
2015-01-08,54.14,54.76,53.954,54.25,1359409
2015-01-09,54.3,54.77,53.83,54.26,644760
2015-01-12,54.13,54.66,53.67,54.56,901336
2015-01-13,54.25,55.25,53.84,54.7,1321638
2015-01-14,55.21,55.235,53.8,54.04,797432
2015-01-15,55.25,55.46,55.02,55.26,492291
2015-01-16,55.71,55.76,54.93,55.3,501858
2015-01-19,55.71,55.71,55.71,55.71,0
2015-01-20,56.14,56.2,55.378,55.98,845933
2015-01-21,56.56,56.59,55.506,56.05,647010
2015-01-22,56.53,56.89,56.319,56.77,574204
2015-01-23,56.56,57.01,56.24,56.63,711251
2015-01-26,56.86,56.89,55.88,56.5,722058
2015-01-27,56.8,56.92,55.91,55.95,568427
2015-01-28,56.67,57.31,56.43,56.87,943220
2015-01-29,57.36,57.4797,56.58,56.91,588811
2015-01-30,56.14,57.3899,56.095,57.34,830890
2015-02-02,56.71,56.76,55.7,56.17,513236
2015-02-03,56.53,56.75,56.17,56.41,681536
2015-02-04,55.64,56.63,55.59,56.26,777476
2015-02-05,56.36,56.59,55.468,55.75,780214
2015-02-06,54.83,56.36,54.53,56.36,980002
2015-02-09,53.94,54.95,53.63,54.81,1183181
2015-02-10,54.3,54.47,53.9804,54.11,1335605
2015-02-11,53.54,54.25,53.23,54.14,764414
2015-02-12,53.61,53.89,53.19,53.7,739669
2015-02-13,52.64,53.6223,52.38,53.58,1550864
2015-02-16,52.64,52.64,52.64,52.64,0
2015-02-17,52.75,53.27,52.39,52.63,1757701
2015-02-18,54.11,54.19,52.53,52.54,944061
2015-02-19,53.8,54.3,53.62,54.15,956942
2015-02-20,53.94,54.02,53.36,53.68,536040
2015-02-23,54.3,54.3,53.245,53.94,1896845
2015-02-24,54.2,54.41,53.625,54.24,1179897
2015-02-25,54.46,55.76,54.23,54.64,1226787
2015-02-26,53.64,54.575,53.4,54.55,850064
2015-02-27,54.08,54.19,53.401,53.79,1095662
2015-03-02,53.27,53.99,52.49,53.99,1506824
2015-03-03,53.61,53.8,53.03,53.25,897123
2015-03-04,53.43,53.57,53.01,53.32,774687
2015-03-05,53.92,54.276,53.62,53.63,1509875
2015-03-06,52.28,53.63,52.0,53.5,1295086
2015-03-09,52.29,52.53,52.09,52.28,543906
2015-03-10,52.26,52.54,51.97,52.0,453664
2015-03-11,52.19,52.63,52.17,52.44,1013643
2015-03-12,52.97,53.13,52.42,52.5,586801
2015-03-13,52.26,52.82,51.8445,52.82,719898
2015-03-16,52.84,53.3,52.3,52.43,712222
2015-03-17,53.15,53.2,52.58,52.72,758544
2015-03-18,54.25,54.45,52.93,53.33,923990
2015-03-19,54.34,54.63,53.88,54.09,718165
2015-03-20,55.02,55.05,54.27,54.56,1055993
2015-03-23,54.6,55.0,54.52,54.91,592430
2015-03-24,54.29,55.12,54.15,54.56,736619
2015-03-25,53.93,55.04,53.93,55.04,674486
2015-03-26,53.46,54.2,53.39,53.86,794749
2015-03-27,54.1,54.32,53.5,53.5,590185
2015-03-30,54.31,54.68,53.88,54.31,748578
2015-03-31,54.21,54.631,54.17,54.31,1189182
2015-04-01,54.46,54.5,53.77,54.27,716717
2015-04-02,54.89,54.94,54.36,54.5,622987
2015-04-03,54.89,54.89,54.89,54.89,0
2015-04-06,55.18,55.51,54.72,54.89,676039
2015-04-07,54.68,55.3,54.5998,55.18,512702
2015-04-08,54.16,54.92,53.75,54.83,808918
2015-04-09,53.87,54.22,53.629,54.11,572365
2015-04-10,54.18,54.2445,53.71,54.13,866075
2015-04-13,53.69,54.45,53.62,54.38,733346
2015-04-14,54.01,54.0162,53.5,53.63,574317
2015-04-15,53.93,54.3,53.9,54.07,686379
2015-04-16,53.87,54.13,53.1901,53.9,710702
2015-04-17,53.6,53.99,53.42,53.73,678785
2015-04-20,54.12,54.8,53.69,53.69,1031069
2015-04-21,53.88,54.79,53.782,54.42,662293
2015-04-22,54.26,54.29,53.68,54.17,511799
2015-04-23,54.63,54.9,54.14,54.31,522242
2015-04-24,55.45,55.67,54.65,54.82,786630
2015-04-27,54.61,55.5886,54.36,55.55,891861
2015-04-28,55.04,55.31,54.27,54.47,737731
2015-04-29,55.05,55.185,54.38,54.71,780604
2015-04-30,54.52,55.05,54.07,54.91,1038529
2015-05-01,54.3,54.76,53.91,54.61,956258
2015-05-04,54.62,54.99,54.3001,54.34,609894
2015-05-05,53.46,54.56,53.32,54.37,650603
2015-05-06,53.06,53.9,52.69,53.59,1016229
2015-05-07,52.99,53.46,52.55,52.94,932335
2015-05-08,52.98,53.59,52.84,53.36,1003377
2015-05-11,52.72,53.26,52.46,53.04,968607
2015-05-12,52.46,52.78,52.2,52.62,976824
2015-05-13,52.23,53.0,52.15,52.69,639011
2015-05-14,52.99,53.0,52.3296,52.49,761446
2015-05-15,53.65,53.67,53.02,53.13,1017023
2015-05-18,53.86,54.23,53.138,53.42,2025821
2015-05-19,53.66,53.94,53.49,53.85,601187
2015-05-20,53.44,53.92,53.35,53.63,709358
2015-05-21,53.39,53.56,53.17,53.5,821422
2015-05-22,52.91,53.38,52.82,53.38,867542
2015-05-25,52.91,52.91,52.91,52.91,0
2015-05-26,52.82,52.99,52.4,52.71,697635
2015-05-27,53.21,53.37,52.78,52.99,623829
2015-05-28,52.71,53.43,52.53,53.02,1336018
2015-05-29,52.87,53.14,52.62,52.67,1205838
2015-06-01,52.85,53.22,52.64,52.9,635026
2015-06-02,52.28,52.788,52.0,52.62,818984
2015-06-03,51.68,52.43,51.47,52.29,821861
2015-06-04,51.72,51.91,51.5,51.53,824215
2015-06-05,50.79,51.2227,50.56,51.15,836223
2015-06-08,51.08,51.43,50.89,51.18,1019435
2015-06-09,51.0,51.59,50.87,51.14,995153
2015-06-10,50.76,51.4089,50.73,51.06,1060675
2015-06-11,50.93,51.1,50.6205,50.86,990755
2015-06-12,50.5,50.88,50.4196,50.75,647301
2015-06-15,49.72,50.57,49.4,50.42,1319759
2015-06-16,49.35,49.94,49.15,49.57,1710891
2015-06-17,49.57,49.905,49.31,49.44,1254696
2015-06-18,50.45,50.62,49.56,49.64,1191319
2015-06-19,50.31,50.89,50.3,50.86,1357975
2015-06-22,50.28,50.79,50.03,50.53,1012335
2015-06-23,50.02,50.5,49.75,50.42,1008401
2015-06-24,49.7,50.08,49.57,49.82,798936
2015-06-25,49.37,49.92,49.29,49.89,672190
2015-06-26,49.7,49.73,49.15,49.4,674963
2015-06-29,48.93,49.73,48.9,49.27,782165
2015-06-30,48.63,49.42,48.36,49.24,1375956
2015-07-01,49.17,49.28,48.52,48.77,812598
2015-07-02,49.85,49.87,49.505,49.54,698689
2015-07-03,49.85,49.85,49.85,49.85,0
2015-07-06,50.21,50.21,49.6806,49.78,1562681
2015-07-07,51.08,51.24,50.23,50.25,1175976
2015-07-08,51.18,51.28,50.57,50.9,922651
2015-07-09,50.18,51.4416,50.01,51.43,1437458
2015-07-10,50.79,51.06,50.01,50.29,834335
2015-07-13,50.99,51.32,50.71,51.07,595545
2015-07-14,51.19,51.44,50.9701,51.23,710692
2015-07-15,51.25,51.28,50.92,51.22,597929
2015-07-16,51.78,51.94,51.2,51.44,560533
2015-07-17,51.31,51.91,51.31,51.84,695371
2015-07-20,51.36,51.6,51.0,51.31,617723
2015-07-21,50.76,51.41,50.63,51.29,592632
2015-07-22,51.14,51.34,50.63,50.63,550632
2015-07-23,50.44,51.34,50.24,51.11,643391
2015-07-24,50.94,51.04,50.4325,50.46,603382
2015-07-27,51.61,51.72,50.775,50.89,794654
2015-07-28,51.48,51.74,51.08,51.51,747053
2015-07-29,51.71,51.74,51.144,51.37,518252
2015-07-30,51.59,51.97,51.44,51.57,537411
2015-07-31,51.91,52.44,51.63,51.96,523937
2015-08-03,52.08,52.43,51.835,51.92,684650
