Date,Close,High,Low,Open,Volume
2015-01-01,93.04,93.04,93.04,93.04,0
2015-01-02,93.02,93.94,92.14,93.17,2445836
2015-01-05,90.56,92.78,90.32,92.46,3478969
2015-01-06,88.63,90.9,87.94,90.79,4808755
2015-01-07,90.3,91.01,89.53,91.01,5665151
2015-01-08,91.58,91.81,91.0,91.44,3781465
2015-01-09,90.42,91.8,90.24,91.58,3681672
2015-01-12,89.5,90.94,89.08,90.5,3230688
2015-01-13,89.23,91.14,88.43,90.27,3537553
2015-01-14,87.07,88.42,86.25,87.44,6628395
2015-01-15,85.88,88.03,84.55,87.5,5830949
2015-01-16,86.04,86.21,84.74,85.54,6768738
2015-01-19,86.04,86.04,86.04,86.04,0
2015-01-20,87.26,87.72,86.42,86.46,6364082
2015-01-21,87.67,87.72,86.77,87.56,7185651
2015-01-22,84.37,86.12,83.5,84.5,16390070
2015-01-23,84.13,85.32,83.96,84.43,7366126
2015-01-26,83.3,84.3,83.12,83.78,6632753
2015-01-27,82.4,83.275,82.0801,82.5,6329531
2015-01-28,81.73,83.39,81.71,82.8,7942208
2015-01-29,82.0,82.33,81.16,82.07,7545880
2015-01-30,80.69,82.2,80.56,82.12,7210532
2015-02-02,82.13,82.25,80.85,80.96,5459286
2015-02-03,83.73,83.77,82.54,82.58,5586211
2015-02-04,83.61,84.47,83.33,83.5,6155698
2015-02-05,84.73,84.9342,84.08,84.25,3966584
2015-02-06,85.01,86.01,84.77,85.11,5139741
2015-02-09,84.98,85.25,84.3,84.53,3101318
2015-02-10,85.84,85.9662,85.12,85.6,3589926
2015-02-11,86.01,86.18,85.32,85.87,4374834
2015-02-12,80.48,81.53,80.0,80.03,32653122
2015-02-13,78.08,79.75,77.72,79.44,34874386
2015-02-16,78.08,78.08,78.08,78.08,0
2015-02-17,79.08,79.32,77.12,77.16,18578333
2015-02-18,79.78,80.27,78.72,78.72,13416995
2015-02-19,78.4,79.98,77.56,79.89,20857959
2015-02-20,79.83,79.88,78.2,78.22,11348739
2015-02-23,80.3,80.48,79.47,79.99,6868556
2015-02-24,80.86,81.7,80.26,80.3,10950979
2015-02-25,82.17,82.25,80.87,81.16,8184691
2015-02-26,83.25,83.47,82.41,83.01,8702804
2015-02-27,81.59,83.38,81.52,83.25,8121162
2015-03-02,82.03,82.21,81.56,81.73,5503072
2015-03-03,81.91,81.93,80.9,80.99,6856146
2015-03-04,80.63,81.56,80.56,81.55,6140957
2015-03-05,81.15,81.4,80.64,80.66,5571779
2015-03-06,80.31,81.15,80.06,80.63,6530206
2015-03-09,80.51,80.8325,79.95,80.15,5846077
2015-03-10,79.11,79.77,78.87,79.73,7523835
2015-03-11,79.45,79.75,79.11,79.4,4545478
2015-03-12,81.56,82.0,80.03,80.1,9386415
2015-03-13,80.6,81.65,79.95,81.5,6919443
2015-03-16,81.5,81.6534,80.75,80.88,5295067
2015-03-17,81.06,81.2094,80.55,81.2,4258228
