Date,Close,High,Low,Open,Volume
2015-01-01,140.07,140.07,140.07,140.07,0
2015-01-02,139.88,142.6,138.28,141.47,267281
2015-01-05,136.52,139.5,136.08,138.75,187476
2015-01-06,134.81,136.89,133.21,136.52,304298
2015-01-07,137.2,137.48,135.3,136.47,416980
2015-01-08,142.0,142.28,138.01,138.95,526727
2015-01-09,151.5,154.73,148.98,151.32,1142939
2015-01-12,153.09,155.6,150.134,154.7,775419
2015-01-13,152.96,155.97,150.49,154.51,467705
2015-01-14,150.87,152.8,149.6225,151.07,429008
2015-01-15,148.87,152.05,148.28,151.09,489052
2015-01-16,150.64,150.79,146.95,148.6,370579
2015-01-19,150.64,150.64,150.64,150.64,0
2015-01-20,150.0,152.03,147.32,151.52,400686
2015-01-21,149.98,151.05,148.38,150.14,264266
2015-01-22,150.65,151.48,148.28,151.12,397421
2015-01-23,151.87,155.6,149.92,150.5,744849
2015-01-26,154.09,155.0,152.0101,152.41,318544
2015-01-27,153.29,154.27,151.5101,151.57,332076
2015-01-28,151.68,154.25,151.22,154.22,209197
2015-01-29,151.92,152.6,149.84,152.0,294980
2015-01-30,149.89,153.24,149.462,152.68,467788
2015-02-02,151.54,151.6,148.32,151.06,289360
2015-02-03,154.28,154.35,151.2,151.85,550163
2015-02-04,152.97,154.82,152.546,153.84,231442
2015-02-05,154.06,155.0,152.58,152.9,154712
2015-02-06,154.24,154.94,152.97,154.03,224105
2015-02-09,157.67,157.79,153.67,153.89,613188
2015-02-10,160.52,161.59,157.82,159.17,355324
2015-02-11,160.89,161.75,159.599,160.91,294226
2015-02-12,162.62,162.7,161.33,162.14,203952
2015-02-13,163.4,163.62,161.29,162.45,380422
2015-02-16,163.4,163.4,163.4,163.4,0
2015-02-17,163.49,163.76,160.39,163.14,299059
2015-02-18,161.81,164.13,161.43,163.0,419633
2015-02-19,160.26,163.09,160.0,161.44,350015
2015-02-20,160.18,160.6599,158.48,160.0,444319
2015-02-23,160.78,160.9732,159.5572,160.16,202386
2015-02-24,161.41,162.59,160.75,160.92,200821
2015-02-25,160.0,162.18,159.31,161.59,225726
2015-02-26,159.25,160.53,158.69,159.99,325808
2015-02-27,158.48,160.77,158.48,159.67,314635
2015-03-02,161.0,162.09,158.4701,159.36,385270
2015-03-03,159.91,161.81,159.13,160.66,356950
2015-03-04,159.66,160.38,157.05,159.75,305050
2015-03-05,159.95,160.87,159.06,160.14,313605
2015-03-06,158.57,160.07,157.735,159.21,312572
2015-03-09,160.29,160.8,158.18,159.41,258641
2015-03-10,159.08,161.57,158.0,159.06,269805
2015-03-11,160.91,162.43,158.73,158.94,274736
2015-03-12,161.14,161.85,160.15,160.89,141482
2015-03-13,159.42,161.84,157.91,161.09,280875
2015-03-16,161.92,161.97,159.9,159.9,285449
2015-03-17,161.24,161.61,160.37,161.61,317318
2015-03-18,167.11,168.3375,161.61,162.36,390583
2015-03-19,165.85,166.82,164.1,166.51,211601
2015-03-20,168.17,168.61,165.262,166.68,419030
2015-03-23,165.04,168.17,164.03,167.8,380314
2015-03-24,164.16,166.11,163.305,165.22,331703
2015-03-25,161.74,164.99,161.69,164.41,331394
2015-03-26,165.91,167.37,160.0221,161.58,385214
2015-03-27,168.0,169.155,165.88,166.75,414728
2015-03-30,172.57,172.76,168.3,168.59,782605
2015-03-31,168.16,171.95,168.14,171.95,857749
2015-04-01,168.09,172.0,162.2701,166.54,1002677
2015-04-02,166.64,169.39,164.7,168.66,745356
2015-04-03,166.64,166.64,166.64,166.64,0
