Date,Close,High,Low,Open,Volume
2015-01-01,33.21,33.21,33.21,33.21,0
2015-01-02,33.25,33.455,32.885,33.34,1011334
2015-01-05,32.845,33.335,32.765,33.23,1835056
2015-01-06,32.74,33.45,32.71,32.925,2481240
2015-01-07,33.28,33.31,32.65,32.98,1501748
2015-01-08,33.805,33.945,33.37,33.465,2024600
2015-01-09,33.325,33.88,33.255,33.88,1109546
2015-01-12,33.235,33.46,33.0875,33.4,907230
2015-01-13,33.465,33.965,33.22,33.485,908050
2015-01-14,34.08,34.09,33.28,33.3,1254576
2015-01-15,34.16,34.21,33.915,34.08,1692452
2015-01-16,34.8,34.835,34.0055,34.095,2001132
2015-01-19,34.8,34.8,34.8,34.8,0
2015-01-20,34.785,34.94,34.415,34.825,1297732
2015-01-21,35.035,35.035,34.345,34.685,784814
2015-01-22,35.025,35.285,34.75,35.155,881416
2015-01-23,35.1,35.4,34.95,35.135,773192
2015-01-26,35.085,35.085,34.625,35.005,970726
2015-01-27,35.01,35.24,34.86,34.945,1163208
2015-01-28,34.6,35.265,34.5,34.79,1057642
2015-01-29,35.16,35.19,34.4405,34.61,886052
2015-01-30,34.305,35.0725,34.28,35.035,915964
2015-02-02,34.465,34.5404,33.815,34.38,1224086
2015-02-03,34.555,34.675,34.175,34.34,954922
2015-02-04,34.055,34.59,33.875,34.59,1332468
2015-02-05,34.405,34.45,33.96,34.245,601896
2015-02-06,32.89,34.29,32.705,34.245,1172968
2015-02-09,32.32,32.98,32.225,32.73,1593484
2015-02-10,33.04,33.04,32.29,32.36,1594248
2015-02-11,32.33,32.91,32.265,32.91,1184600
2015-02-12,32.23,32.49,32.11,32.375,1033476
2015-02-13,31.785,32.2,31.515,32.2,2000039
2015-02-16,31.785,31.785,31.785,31.785,0
2015-02-17,31.71,32.02,31.445,31.68,1883192
2015-02-18,32.52,32.555,31.7138,31.715,1617856
2015-02-19,32.275,32.62,32.15,32.515,1113344
2015-02-20,32.305,32.35,31.975,32.25,1222500
2015-02-23,32.545,32.555,32.17,32.315,1148130
2015-02-24,32.755,32.835,32.25,32.545,1767658
2015-02-25,32.185,32.8748,32.1,32.77,1115748
2015-02-26,31.855,32.425,31.81,32.275,1015048
2015-02-27,31.8,31.915,31.63,31.87,804194
2015-03-02,31.205,31.775,30.895,31.725,1348682
2015-03-03,31.32,31.34,30.805,31.045,882788
2015-03-04,31.045,31.205,30.915,31.205,794370
2015-03-05,31.1,31.285,30.815,31.15,1315048
2015-03-06,30.125,30.775,30.035,30.775,2106960
2015-03-09,30.35,30.5325,30.14,30.145,2191044
2015-03-10,30.335,30.63,30.195,30.275,1954988
2015-03-11,30.155,30.5,30.06,30.335,1670848
2015-03-12,30.575,30.7,30.3,30.3,1408980
2015-03-13,30.26,30.565,29.96,30.565,1461078
2015-03-16,30.895,31.1,30.38,30.43,1329180
2015-03-17,30.845,31.01,30.705,30.78,1359468
2015-03-18,31.51,31.75,30.74,30.84,1551586
2015-03-19,31.36,31.82,31.19,31.435,1416934
2015-03-20,31.79,31.84,31.305,31.425,2717588
2015-03-23,31.715,31.96,31.655,31.79,1009566
